,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2,RSPM_PM10,SO2,SPM,SO2_MOM_diff,month_number_diff,NO2_MOM_diff,RSPM_PM10_MOM_diff,SPM_MOM_diff
60,Akola,Residential,20120070,2012,7,8.0,120.0,7.0,,-1.0,1.0,-1.0,-16.0,
61,Akola,Residential,20120080,2012,8,10.0,115.0,7.0,,0.0,1.0,2.0,-5.0,
62,Akola,Residential,20120090,2012,9,9.0,131.0,8.0,,1.0,1.0,-1.0,16.0,
63,Akola,Residential,20120100,2012,10,9.0,131.0,8.0,,0.0,1.0,0.0,0.0,
64,Akola,Residential,20120110,2012,11,10.0,141.0,8.0,,0.0,1.0,1.0,10.0,
65,Akola,Residential,20120120,2012,12,10.0,143.67,9.0,,1.0,1.0,0.0,2.6699999999999875,
66,Akola,Residential,20130010,2013,1,10.0,141.0,8.0,,-1.0,-11.0,0.0,-2.6699999999999875,
67,Akola,Residential,20130020,2013,2,9.0,140.0,8.0,,0.0,1.0,-1.0,-1.0,
68,Akola,Residential,20130080,2013,8,8.0,125.66666670000001,7.0,,,6.0,,,
69,Akola,Residential,20130090,2013,9,8.0,119.0,6.0,,-1.0,1.0,0.0,-6.6666667000000075,
70,Akola,Residential,20130100,2013,10,7.0,115.0,6.0,,0.0,1.0,-1.0,-4.0,
71,Akola,Residential,20130110,2013,11,7.0,142.33333330000002,6.0,,0.0,1.0,0.0,27.33333330000002,
72,Akola,Residential,20130120,2013,12,8.0,128.0,7.0,,1.0,1.0,1.0,-14.333333300000021,
73,Akola,Residential,20140010,2014,1,9.0,159.0,9.0,,2.0,-11.0,1.0,31.0,
74,Akola,Residential,20140020,2014,2,10.0,165.0,8.5,,-0.5,1.0,1.0,6.0,
75,Akola,Residential,20140030,2014,3,10.5,166.5,8.5,,0.0,1.0,0.5,1.5,
76,Akola,Residential,20140040,2014,4,11.0,170.0,10.0,,1.5,1.0,0.5,3.5,
77,Akola,Residential,20140050,2014,5,13.0,170.5,10.5,,0.5,1.0,2.0,0.5,
78,Akola,Residential,20140060,2014,6,10.0,159.0,10.0,,-0.5,1.0,-3.0,-11.5,
79,Akola,Residential,20140070,2014,7,9.5,162.0,9.0,,-1.0,1.0,-0.5,3.0,
80,Akola,Residential,20140080,2014,8,9.0,126.5,8.0,,-1.0,1.0,-0.5,-35.5,
81,Akola,Residential,20140090,2014,9,8.0,119.0,6.5,,-1.5,1.0,-1.0,-7.5,
82,Akola,Residential,20140100,2014,10,8.0,146.5,7.0,,0.5,1.0,0.0,27.5,
83,Akola,Residential,20140110,2014,11,9.0,147.0,7.0,,0.0,1.0,1.0,0.5,
84,Akola,Residential,20140120,2014,12,9.0,142.0,8.0,,1.0,1.0,0.0,-5.0,
85,Akola,Residential,20150010,2015,1,8.0,141.5,7.0,,-1.0,-11.0,-1.0,-0.5,
86,Akola,Residential,20150020,2015,2,8.0,124.5,7.0,,0.0,1.0,0.0,-17.0,
87,Akola,Residential,20150030,2015,3,8.0,120.0,7.0,,0.0,1.0,0.0,-4.5,
88,Akola,Residential,20150040,2015,4,6.5,111.5,6.0,,-1.0,1.0,-1.5,-8.5,
89,Akola,Residential,20150050,2015,5,7.0,113.0,7.0,,1.0,1.0,0.5,1.5,
90,Akola,Residential,20150060,2015,6,7.0,132.0,6.0,,-1.0,1.0,0.0,19.0,
91,Akola,Residential,20150070,2015,7,7.0,135.0,7.0,,1.0,1.0,0.0,3.0,
92,Akola,Residential,20150090,2015,9,7.0,113.0,6.0,,,2.0,,,
93,Akola,Residential,20150100,2015,10,8.0,135.5,7.0,,1.0,1.0,1.0,22.5,
94,Akola,Residential,20150110,2015,11,8.5,141.0,7.0,,0.0,1.0,0.5,5.5,
95,Akola,Residential,20150120,2015,12,8.0,115.0,7.0,,0.0,1.0,-0.5,-26.0,
96,Amravati,Industrial,20060010,2006,1,12.4,,11.3,,,,,,
97,Amravati,Industrial,20060070,2006,7,19.3,,13.05,,,6.0,,,
98,Amravati,Industrial,20060080,2006,8,19.15,,11.95,,-1.1000000000000014,1.0,-0.15000000000000213,,
99,Amravati,Industrial,20060110,2006,11,21.2,,12.6,,,3.0,,,
100,Amravati,Industrial,20060120,2006,12,14.65,,11.4,,-1.1999999999999993,1.0,-6.549999999999999,,
101,Amravati,Industrial,20070010,2007,1,13.1,69.0,10.05,,-1.3499999999999996,-11.0,-1.5500000000000007,,
102,Amravati,Industrial,20070020,2007,2,13.4,68.5,11.65,,1.5999999999999996,1.0,0.3000000000000007,-0.5,
103,Amravati,Industrial,20070030,2007,3,15.5,77.0,11.149999999999999,,-0.5000000000000018,1.0,2.0999999999999996,8.5,
104,Amravati,Industrial,20070040,2007,4,15.5,86.5,12.7,,1.5500000000000007,1.0,0.0,9.5,
105,Amravati,Industrial,20070050,2007,5,13.4,81.5,10.8,,-1.8999999999999986,1.0,-2.0999999999999996,-5.0,
106,Amravati,Industrial,20070060,2007,6,8.1,39.5,7.75,,-3.0500000000000007,1.0,-5.300000000000001,-42.0,
107,Amravati,Industrial,20070070,2007,7,9.6,54.0,8.45,,0.6999999999999993,1.0,1.5,14.5,
108,Amravati,Industrial,20070080,2007,8,12.25,53.0,9.7,,1.25,1.0,2.6500000000000004,-1.0,
109,Amravati,Industrial,20070090,2007,9,12.0,52.5,9.9,,0.20000000000000107,1.0,-0.25,-0.5,
110,Amravati,Industrial,20070100,2007,10,10.5,55.0,8.649999999999999,,-1.2500000000000018,1.0,-1.5,2.5,
111,Amravati,Industrial,20070110,2007,11,12.7,64.0,9.8,,1.1500000000000021,1.0,2.1999999999999993,9.0,
112,Amravati,Industrial,20070120,2007,12,12.7,45.5,9.0,,-0.8000000000000007,1.0,0.0,-18.5,
113,Amravati,Industrial,20080010,2008,1,12.0,45.0,8.3,,-0.6999999999999993,-11.0,-0.6999999999999993,-0.5,
114,Amravati,Industrial,20080020,2008,2,13.2,57.0,9.8,,1.5,1.0,1.1999999999999993,12.0,
115,Amravati,Industrial,20080030,2008,3,10.7,63.0,8.6,,-1.200000000000001,1.0,-2.5,6.0,
116,Amravati,Industrial,20080040,2008,4,12.75,66.0,9.1,,0.5,1.0,2.0500000000000007,3.0,
117,Amravati,Industrial,20080050,2008,5,13.25,64.0,10.5,,1.4000000000000004,1.0,0.5,-2.0,
118,Amravati,Industrial,20080060,2008,6,12.25,62.0,8.8,,-1.6999999999999993,1.0,-1.0,-2.0,
119,Amravati,Industrial,20080070,2008,7,12.5,67.0,9.7,,0.8999999999999986,1.0,0.25,5.0,
120,Amravati,Industrial,20080080,2008,8,15.0,68.0,10.9,,1.200000000000001,1.0,2.5,1.0,
121,Amravati,Industrial,20080090,2008,9,14.5,59.0,12.2,,1.299999999999999,1.0,-0.5,-9.0,
122,Amravati,Industrial,20080100,2008,10,12.75,73.5,9.9,,-2.299999999999999,1.0,-1.75,14.5,
123,Amravati,Industrial,20080110,2008,11,12.5,75.0,10.5,,0.5999999999999996,1.0,-0.25,1.5,
124,Amravati,Industrial,20080120,2008,12,12.0,76.0,10.5,,0.0,1.0,-0.5,1.0,
125,Amravati,Industrial,20090010,2009,1,12.5,80.0,10.8,,0.3000000000000007,-11.0,0.5,4.0,
126,Amravati,Industrial,20090020,2009,2,13.8,87.0,10.7,,-0.10000000000000142,1.0,1.3000000000000007,7.0,
127,Amravati,Industrial,20090030,2009,3,13.7,82.5,11.5,,0.8000000000000007,1.0,-0.10000000000000142,-4.5,
128,Amravati,Industrial,20090040,2009,4,14.85,81.5,12.35,,0.8499999999999996,1.0,1.1500000000000004,-1.0,
129,Amravati,Industrial,20090050,2009,5,14.8,103.0,13.2,,0.8499999999999996,1.0,-0.049999999999998934,21.5,
130,Amravati,Industrial,20090060,2009,6,13.3,92.0,10.7,,-2.5,1.0,-1.5,-11.0,
131,Amravati,Industrial,20090070,2009,7,12.7,85.0,10.8,,0.10000000000000142,1.0,-0.6000000000000014,-7.0,
132,Amravati,Industrial,20090080,2009,8,13.8,91.0,11.5,,0.6999999999999993,1.0,1.1000000000000014,6.0,
133,Amravati,Industrial,20090090,2009,9,13.75,98.5,11.65,,0.15000000000000036,1.0,-0.05000000000000071,7.5,
134,Amravati,Industrial,20090100,2009,10,14.25,98.0,11.85,,0.1999999999999993,1.0,0.5,-0.5,
135,Amravati,Industrial,20090110,2009,11,15.05,98.5,12.55,,0.7000000000000011,1.0,0.8000000000000007,0.5,
136,Amravati,Industrial,20090120,2009,12,12.7,96.0,11.0,,-1.5500000000000007,1.0,-2.3500000000000014,-2.5,
137,Amravati,Industrial,20100010,2010,1,14.5,121.0,13.0,,2.0,-11.0,1.8000000000000007,25.0,
138,Amravati,Industrial,20100020,2010,2,14.5,134.33333330000002,13.0,,0.0,1.0,0.0,13.333333300000021,
139,Amravati,Industrial,20100030,2010,3,14.0,89.33333333,13.0,,0.0,1.0,-0.5,-44.99999997000002,
140,Amravati,Industrial,20100040,2010,4,15.33333333,131.0,13.0,,0.0,1.0,1.3333333300000003,41.66666667,
141,Amravati,Industrial,20100050,2010,5,15.333333334999999,128.83333335,14.0,,1.0,1.0,4.999998637345016e-09,-2.1666666499999963,
142,Amravati,Industrial,20100060,2010,6,11.5,126.0,10.0,,-4.0,1.0,-3.833333334999999,-2.8333333500000037,
143,Amravati,Industrial,20100070,2010,7,12.25,114.16666665,10.5,,0.5,1.0,0.75,-11.833333350000004,
144,Amravati,Industrial,20100080,2010,8,14.166666665000001,114.83333329999999,12.0,,1.5,1.0,1.916666665000001,0.6666666499999963,
145,Amravati,Industrial,20100090,2010,9,14.5,122.33333329999999,12.0,,0.0,1.0,0.33333333499999895,7.5,
146,Amravati,Industrial,20100100,2010,10,13.25,108.83333335,11.5,,-0.5,1.0,-1.25,-13.499999949999989,
147,Amravati,Industrial,20100110,2010,11,14.583333334999999,126.66666665,12.5,,1.0,1.0,1.333333334999999,17.833333299999993,
148,Amravati,Industrial,20100120,2010,12,14.666666665000001,146.16666665000002,12.0,,-0.5,1.0,0.08333333000000209,19.50000000000003,
149,Amravati,Industrial,20110010,2011,1,15.0,150.0,13.0,,1.0,-11.0,0.33333333499999895,3.8333333499999753,
150,Amravati,Industrial,20110020,2011,2,14.0,119.0,12.0,,-1.0,1.0,-1.0,-31.0,
151,Amravati,Industrial,20110030,2011,3,15.0,144.5,13.0,,1.0,1.0,1.0,25.5,
152,Amravati,Industrial,20110040,2011,4,15.0,138.0,12.5,,-0.5,1.0,0.0,-6.5,
153,Amravati,Industrial,20110050,2011,5,13.0,114.0,11.0,,-1.5,1.0,-2.0,-24.0,
154,Amravati,Industrial,20110060,2011,6,12.0,89.0,10.0,,-1.0,1.0,-1.0,-25.0,
155,Amravati,Industrial,20110070,2011,7,12.0,101.0,10.0,,0.0,1.0,0.0,12.0,
156,Amravati,Industrial,20110080,2011,8,12.0,79.0,10.0,,0.0,1.0,0.0,-22.0,
157,Amravati,Industrial,20110090,2011,9,12.0,81.0,11.0,,1.0,1.0,0.0,2.0,
158,Amravati,Industrial,20110100,2011,10,13.0,97.5,11.5,,0.5,1.0,1.0,16.5,
159,Amravati,Industrial,20110110,2011,11,12.0,98.0,10.5,,-1.0,1.0,-1.0,0.5,
160,Amravati,Industrial,20110120,2011,12,12.0,95.0,11.0,,0.5,1.0,0.0,-3.0,
161,Amravati,Industrial,20120010,2012,1,13.0,99.5,12.0,,1.0,-11.0,1.0,4.5,
162,Amravati,Industrial,20120020,2012,2,13.5,101.5,11.5,,-0.5,1.0,0.5,2.0,
163,Amravati,Industrial,20120030,2012,3,13.5,113.5,11.5,,0.0,1.0,0.0,12.0,
164,Amravati,Industrial,20120040,2012,4,13.5,121.0,12.0,,0.5,1.0,0.0,7.5,
165,Amravati,Industrial,20120050,2012,5,14.0,112.0,12.0,,0.0,1.0,0.5,-9.0,
166,Amravati,Industrial,20120060,2012,6,13.0,105.5,11.0,,-1.0,1.0,-1.0,-6.5,
167,Amravati,Industrial,20120070,2012,7,13.0,97.0,12.0,,1.0,1.0,0.0,-8.5,
168,Amravati,Industrial,20120080,2012,8,14.0,113.5,12.5,,0.5,1.0,1.0,16.5,
169,Amravati,Industrial,20120090,2012,9,14.0,85.0,12.0,,-0.5,1.0,0.0,-28.5,
170,Amravati,Industrial,20120100,2012,10,14.0,97.0,12.0,,0.0,1.0,0.0,12.0,
171,Amravati,Industrial,20120110,2012,11,13.0,102.0,11.0,,-1.0,1.0,-1.0,5.0,
172,Amravati,Industrial,20120120,2012,12,13.0,96.0,11.0,,0.0,1.0,0.0,-6.0,
173,Amravati,Industrial,20130010,2013,1,13.0,59.0,11.0,,0.0,-11.0,0.0,-37.0,
174,Amravati,Industrial,20130020,2013,2,14.0,59.0,12.0,,1.0,1.0,1.0,0.0,
175,Amravati,Industrial,20130030,2013,3,14.0,59.0,12.5,,0.5,1.0,0.0,0.0,
176,Amravati,Industrial,20130040,2013,4,13.0,57.0,12.0,,-0.5,1.0,-1.0,-2.0,
177,Amravati,Industrial,20130060,2013,6,14.0,60.0,12.5,,,2.0,,,
178,Amravati,Industrial,20130070,2013,7,13.0,60.5,12.0,,-0.5,1.0,-1.0,0.5,
179,Amravati,Industrial,20130080,2013,8,12.5,58.5,10.5,,-1.5,1.0,-0.5,-2.0,
180,Amravati,Industrial,20130090,2013,9,15.0,57.5,12.5,,2.0,1.0,2.5,-1.0,
181,Amravati,Industrial,20130100,2013,10,12.5,56.0,11.0,,-1.5,1.0,-2.5,-1.5,
182,Amravati,Industrial,20130110,2013,11,14.0,53.0,12.0,,1.0,1.0,1.5,-3.0,
183,Amravati,Industrial,20130120,2013,12,14.0,49.0,12.0,,0.0,1.0,0.0,-4.0,
184,Amravati,Industrial,20150010,2015,1,15.0,108.0,13.0,,1.0,-11.0,1.0,59.0,
185,Amravati,Industrial,20150020,2015,2,13.0,107.0,12.0,,-1.0,1.0,-2.0,-1.0,
186,Amravati,Industrial,20150030,2015,3,14.0,109.0,12.0,,0.0,1.0,1.0,2.0,
187,Amravati,Industrial,20150040,2015,4,14.0,130.0,11.5,,-0.5,1.0,0.0,21.0,
188,Amravati,Industrial,20150060,2015,6,13.0,118.5,11.5,,,2.0,,,
189,Amravati,Industrial,20150080,2015,8,14.0,110.0,11.0,,,2.0,,,
190,Amravati,Industrial,20150090,2015,9,12.0,109.0,11.0,,0.0,1.0,-2.0,-1.0,
191,Amravati,Industrial,20150100,2015,10,13.0,104.0,12.0,,1.0,1.0,1.0,-5.0,
