,City_poll,Type_of_Location,ClusterId,year_number,month_number
0,AKOLA,Industrial,,2011,1.0
12,AKOLA,Residential,,2011,1.0
1,AKOLA,Industrial,,2011,2.0
13,AKOLA,Residential,,2011,2.0
2,AKOLA,Industrial,,2011,3.0
14,AKOLA,Residential,,2011,3.0
3,AKOLA,Industrial,,2011,4.0
15,AKOLA,Residential,,2011,4.0
4,AKOLA,Industrial,,2011,5.0
16,AKOLA,Residential,,2011,5.0
5,AKOLA,Industrial,,2011,6.0
17,AKOLA,Residential,,2011,6.0
6,AKOLA,Industrial,,2011,7.0
18,AKOLA,Residential,,2011,7.0
7,AKOLA,Industrial,,2011,8.0
19,AKOLA,Residential,,2011,8.0
8,AKOLA,Industrial,,2011,9.0
20,AKOLA,Residential,,2011,9.0
9,AKOLA,Industrial,,2011,10.0
21,AKOLA,Residential,,2011,10.0
10,AKOLA,Industrial,,2011,11.0
22,AKOLA,Residential,,2011,11.0
11,AKOLA,Industrial,,2011,12.0
23,AKOLA,Residential,,2011,12.0
24,AKOLA,Industrial,,2012,1.0
36,AKOLA,Residential,,2012,1.0
25,AKOLA,Industrial,,2012,2.0
37,AKOLA,Residential,,2012,2.0
26,AKOLA,Industrial,,2012,3.0
38,AKOLA,Residential,,2012,3.0
27,AKOLA,Industrial,,2012,4.0
39,AKOLA,Residential,,2012,4.0
28,AKOLA,Industrial,,2012,5.0
40,AKOLA,Residential,,2012,5.0
29,AKOLA,Industrial,,2012,6.0
41,AKOLA,Residential,,2012,6.0
30,AKOLA,Industrial,,2012,7.0
42,AKOLA,Residential,,2012,7.0
31,AKOLA,Industrial,,2012,8.0
43,AKOLA,Residential,,2012,8.0
32,AKOLA,Industrial,,2012,9.0
44,AKOLA,Residential,,2012,9.0
33,AKOLA,Industrial,,2012,10.0
45,AKOLA,Residential,,2012,10.0
34,AKOLA,Industrial,,2012,11.0
46,AKOLA,Residential,,2012,11.0
35,AKOLA,Industrial,,2012,12.0
47,AKOLA,Residential,,2012,12.0
48,AKOLA,Industrial,,2013,1.0
55,AKOLA,Residential,,2013,1.0
49,AKOLA,Industrial,,2013,2.0
56,AKOLA,Residential,,2013,2.0
50,AKOLA,Industrial,,2013,8.0
57,AKOLA,Residential,,2013,8.0
51,AKOLA,Industrial,,2013,9.0
58,AKOLA,Residential,,2013,9.0
52,AKOLA,Industrial,,2013,10.0
59,AKOLA,Residential,,2013,10.0
53,AKOLA,Industrial,,2013,11.0
60,AKOLA,Residential,,2013,11.0
54,AKOLA,Industrial,,2013,12.0
61,AKOLA,Residential,,2013,12.0
84,AKOLA,Residential,,2014,1.0
85,AKOLA,Residential,,2014,2.0
86,AKOLA,Residential,,2014,3.0
87,AKOLA,Residential,,2014,4.0
88,AKOLA,Residential,,2014,5.0
89,AKOLA,Residential,,2014,6.0
90,AKOLA,Residential,,2014,7.0
91,AKOLA,Residential,,2014,8.0
92,AKOLA,Residential,,2014,9.0
93,AKOLA,Residential,,2014,10.0
94,AKOLA,Residential,,2014,11.0
95,AKOLA,Residential,,2014,12.0
62,AKOLA,Industrial,,2015,1.0
73,AKOLA,Residential,,2015,1.0
63,AKOLA,Industrial,,2015,2.0
74,AKOLA,Residential,,2015,2.0
64,AKOLA,Industrial,,2015,3.0
75,AKOLA,Residential,,2015,3.0
65,AKOLA,Industrial,,2015,4.0
76,AKOLA,Residential,,2015,4.0
66,AKOLA,Industrial,,2015,5.0
77,AKOLA,Residential,,2015,5.0
67,AKOLA,Industrial,,2015,6.0
78,AKOLA,Residential,,2015,6.0
68,AKOLA,Industrial,,2015,7.0
79,AKOLA,Residential,,2015,7.0
69,AKOLA,Industrial,,2015,9.0
80,AKOLA,Residential,,2015,9.0
70,AKOLA,Industrial,,2015,10.0
81,AKOLA,Residential,,2015,10.0
71,AKOLA,Industrial,,2015,11.0
82,AKOLA,Residential,,2015,11.0
72,AKOLA,Industrial,,2015,12.0
83,AKOLA,Residential,,2015,12.0
96,AMRAVATI,Industrial,,2006,1.0
101,AMRAVATI,Residential,,2006,1.0
102,AMRAVATI,Residential,,2006,2.0
103,AMRAVATI,Residential,,2006,3.0
104,AMRAVATI,Residential,,2006,4.0
105,AMRAVATI,Residential,,2006,5.0
106,AMRAVATI,Residential,,2006,6.0
97,AMRAVATI,Industrial,,2006,7.0
98,AMRAVATI,Industrial,,2006,8.0
107,AMRAVATI,Residential,,2006,9.0
108,AMRAVATI,Residential,,2006,10.0
99,AMRAVATI,Industrial,,2006,11.0
109,AMRAVATI,Residential,,2006,11.0
100,AMRAVATI,Industrial,,2006,12.0
110,AMRAVATI,Residential,,2006,12.0
111,AMRAVATI,Industrial,,2007,1.0
123,AMRAVATI,Residential,,2007,1.0
112,AMRAVATI,Industrial,,2007,2.0
124,AMRAVATI,Residential,,2007,2.0
113,AMRAVATI,Industrial,,2007,3.0
125,AMRAVATI,Residential,,2007,3.0
114,AMRAVATI,Industrial,,2007,4.0
126,AMRAVATI,Residential,,2007,4.0
115,AMRAVATI,Industrial,,2007,5.0
127,AMRAVATI,Residential,,2007,5.0
116,AMRAVATI,Industrial,,2007,6.0
128,AMRAVATI,Residential,,2007,6.0
117,AMRAVATI,Industrial,,2007,7.0
129,AMRAVATI,Residential,,2007,7.0
118,AMRAVATI,Industrial,,2007,8.0
130,AMRAVATI,Residential,,2007,8.0
119,AMRAVATI,Industrial,,2007,9.0
131,AMRAVATI,Residential,,2007,9.0
120,AMRAVATI,Industrial,,2007,10.0
132,AMRAVATI,Residential,,2007,10.0
121,AMRAVATI,Industrial,,2007,11.0
133,AMRAVATI,Residential,,2007,11.0
122,AMRAVATI,Industrial,,2007,12.0
134,AMRAVATI,Residential,,2007,12.0
135,AMRAVATI,Industrial,,2008,1.0
147,AMRAVATI,Residential,,2008,1.0
136,AMRAVATI,Industrial,,2008,2.0
148,AMRAVATI,Residential,,2008,2.0
137,AMRAVATI,Industrial,,2008,3.0
149,AMRAVATI,Residential,,2008,3.0
138,AMRAVATI,Industrial,,2008,4.0
150,AMRAVATI,Residential,,2008,4.0
139,AMRAVATI,Industrial,,2008,5.0
151,AMRAVATI,Residential,,2008,5.0
140,AMRAVATI,Industrial,,2008,6.0
152,AMRAVATI,Residential,,2008,6.0
141,AMRAVATI,Industrial,,2008,7.0
153,AMRAVATI,Residential,,2008,7.0
142,AMRAVATI,Industrial,,2008,8.0
154,AMRAVATI,Residential,,2008,8.0
143,AMRAVATI,Industrial,,2008,9.0
155,AMRAVATI,Residential,,2008,9.0
144,AMRAVATI,Industrial,,2008,10.0
156,AMRAVATI,Residential,,2008,10.0
145,AMRAVATI,Industrial,,2008,11.0
157,AMRAVATI,Residential,,2008,11.0
146,AMRAVATI,Industrial,,2008,12.0
158,AMRAVATI,Residential,,2008,12.0
159,AMRAVATI,Industrial,,2009,1.0
171,AMRAVATI,Residential,,2009,1.0
160,AMRAVATI,Industrial,,2009,2.0
172,AMRAVATI,Residential,,2009,2.0
161,AMRAVATI,Industrial,,2009,3.0
173,AMRAVATI,Residential,,2009,3.0
162,AMRAVATI,Industrial,,2009,4.0
174,AMRAVATI,Residential,,2009,4.0
163,AMRAVATI,Industrial,,2009,5.0
175,AMRAVATI,Residential,,2009,5.0
164,AMRAVATI,Industrial,,2009,6.0
176,AMRAVATI,Residential,,2009,6.0
165,AMRAVATI,Industrial,,2009,7.0
177,AMRAVATI,Residential,,2009,7.0
166,AMRAVATI,Industrial,,2009,8.0
178,AMRAVATI,Residential,,2009,8.0
167,AMRAVATI,Industrial,,2009,9.0
179,AMRAVATI,Residential,,2009,9.0
168,AMRAVATI,Industrial,,2009,10.0
180,AMRAVATI,Residential,,2009,10.0
169,AMRAVATI,Industrial,,2009,11.0
181,AMRAVATI,Residential,,2009,11.0
170,AMRAVATI,Industrial,,2009,12.0
182,AMRAVATI,Residential,,2009,12.0
183,AMRAVATI,Industrial,,2010,1.0
195,AMRAVATI,Residential,,2010,1.0
184,AMRAVATI,Industrial,,2010,2.0
196,AMRAVATI,Residential,,2010,2.0
185,AMRAVATI,Industrial,,2010,3.0
197,AMRAVATI,Residential,,2010,3.0
186,AMRAVATI,Industrial,,2010,4.0
198,AMRAVATI,Residential,,2010,4.0
187,AMRAVATI,Industrial,,2010,5.0
199,AMRAVATI,Residential,,2010,5.0
188,AMRAVATI,Industrial,,2010,6.0
200,AMRAVATI,Residential,,2010,6.0
189,AMRAVATI,Industrial,,2010,7.0
201,AMRAVATI,Residential,,2010,7.0
190,AMRAVATI,Industrial,,2010,8.0
202,AMRAVATI,Residential,,2010,8.0
191,AMRAVATI,Industrial,,2010,9.0
203,AMRAVATI,Residential,,2010,9.0
192,AMRAVATI,Industrial,,2010,10.0
204,AMRAVATI,Residential,,2010,10.0
193,AMRAVATI,Industrial,,2010,11.0
205,AMRAVATI,Residential,,2010,11.0
194,AMRAVATI,Industrial,,2010,12.0
206,AMRAVATI,Residential,,2010,12.0
207,AMRAVATI,Industrial,,2011,1.0
219,AMRAVATI,Residential,,2011,1.0
208,AMRAVATI,Industrial,,2011,2.0
220,AMRAVATI,Residential,,2011,2.0
209,AMRAVATI,Industrial,,2011,3.0
221,AMRAVATI,Residential,,2011,3.0
210,AMRAVATI,Industrial,,2011,4.0
222,AMRAVATI,Residential,,2011,4.0
211,AMRAVATI,Industrial,,2011,5.0
223,AMRAVATI,Residential,,2011,5.0
212,AMRAVATI,Industrial,,2011,6.0
224,AMRAVATI,Residential,,2011,6.0
213,AMRAVATI,Industrial,,2011,7.0
225,AMRAVATI,Residential,,2011,7.0
214,AMRAVATI,Industrial,,2011,8.0
226,AMRAVATI,Residential,,2011,8.0
215,AMRAVATI,Industrial,,2011,9.0
227,AMRAVATI,Residential,,2011,9.0
216,AMRAVATI,Industrial,,2011,10.0
228,AMRAVATI,Residential,,2011,10.0
217,AMRAVATI,Industrial,,2011,11.0
229,AMRAVATI,Residential,,2011,11.0
218,AMRAVATI,Industrial,,2011,12.0
230,AMRAVATI,Residential,,2011,12.0
231,AMRAVATI,Industrial,,2012,1.0
243,AMRAVATI,Residential,,2012,1.0
232,AMRAVATI,Industrial,,2012,2.0
244,AMRAVATI,Residential,,2012,2.0
233,AMRAVATI,Industrial,,2012,3.0
245,AMRAVATI,Residential,,2012,3.0
234,AMRAVATI,Industrial,,2012,4.0
246,AMRAVATI,Residential,,2012,4.0
235,AMRAVATI,Industrial,,2012,5.0
247,AMRAVATI,Residential,,2012,5.0
236,AMRAVATI,Industrial,,2012,6.0
248,AMRAVATI,Residential,,2012,6.0
237,AMRAVATI,Industrial,,2012,7.0
249,AMRAVATI,Residential,,2012,7.0
238,AMRAVATI,Industrial,,2012,8.0
250,AMRAVATI,Residential,,2012,8.0
239,AMRAVATI,Industrial,,2012,9.0
251,AMRAVATI,Residential,,2012,9.0
240,AMRAVATI,Industrial,,2012,10.0
252,AMRAVATI,Residential,,2012,10.0
241,AMRAVATI,Industrial,,2012,11.0
253,AMRAVATI,Residential,,2012,11.0
242,AMRAVATI,Industrial,,2012,12.0
254,AMRAVATI,Residential,,2012,12.0
255,AMRAVATI,Industrial,,2013,1.0
266,AMRAVATI,Residential,,2013,1.0
256,AMRAVATI,Industrial,,2013,2.0
267,AMRAVATI,Residential,,2013,2.0
257,AMRAVATI,Industrial,,2013,3.0
268,AMRAVATI,Residential,,2013,3.0
258,AMRAVATI,Industrial,,2013,4.0
269,AMRAVATI,Residential,,2013,4.0
259,AMRAVATI,Industrial,,2013,6.0
270,AMRAVATI,Residential,,2013,6.0
260,AMRAVATI,Industrial,,2013,7.0
271,AMRAVATI,Residential,,2013,7.0
261,AMRAVATI,Industrial,,2013,8.0
272,AMRAVATI,Residential,,2013,8.0
262,AMRAVATI,Industrial,,2013,9.0
273,AMRAVATI,Residential,,2013,9.0
263,AMRAVATI,Industrial,,2013,10.0
274,AMRAVATI,Residential,,2013,10.0
264,AMRAVATI,Industrial,,2013,11.0
275,AMRAVATI,Residential,,2013,11.0
265,AMRAVATI,Industrial,,2013,12.0
276,AMRAVATI,Residential,,2013,12.0
297,AMRAVATI,Residential,,2014,1.0
298,AMRAVATI,Residential,,2014,2.0
299,AMRAVATI,Residential,,2014,3.0
300,AMRAVATI,Residential,,2014,4.0
301,AMRAVATI,Residential,,2014,5.0
302,AMRAVATI,Residential,,2014,6.0
303,AMRAVATI,Residential,,2014,7.0
304,AMRAVATI,Residential,,2014,8.0
305,AMRAVATI,Residential,,2014,9.0
306,AMRAVATI,Residential,,2014,10.0
307,AMRAVATI,Residential,,2014,11.0
308,AMRAVATI,Residential,,2014,12.0
277,AMRAVATI,Industrial,,2015,1.0
287,AMRAVATI,Residential,,2015,1.0
278,AMRAVATI,Industrial,,2015,2.0
288,AMRAVATI,Residential,,2015,2.0
279,AMRAVATI,Industrial,,2015,3.0
289,AMRAVATI,Residential,,2015,3.0
280,AMRAVATI,Industrial,,2015,4.0
290,AMRAVATI,Residential,,2015,4.0
281,AMRAVATI,Industrial,,2015,6.0
291,AMRAVATI,Residential,,2015,6.0
282,AMRAVATI,Industrial,,2015,8.0
292,AMRAVATI,Residential,,2015,8.0
283,AMRAVATI,Industrial,,2015,9.0
293,AMRAVATI,Residential,,2015,9.0
284,AMRAVATI,Industrial,,2015,10.0
294,AMRAVATI,Residential,,2015,10.0
285,AMRAVATI,Industrial,,2015,11.0
295,AMRAVATI,Residential,,2015,11.0
286,AMRAVATI,Industrial,,2015,12.0
296,AMRAVATI,Residential,,2015,12.0
569,AURANGABAD,Unknown,,1993,12.0
559,AURANGABAD,Unknown,1.0,1994,1.0
560,AURANGABAD,Unknown,1.0,1994,2.0
561,AURANGABAD,Unknown,1.0,1994,3.0
562,AURANGABAD,Unknown,1.0,1994,4.0
563,AURANGABAD,Unknown,1.0,1994,5.0
564,AURANGABAD,Unknown,0.0,1994,6.0
565,AURANGABAD,Unknown,1.0,1994,7.0
566,AURANGABAD,Unknown,1.0,1994,8.0
567,AURANGABAD,Unknown,1.0,1994,9.0
568,AURANGABAD,Unknown,,1994,11.0
549,AURANGABAD,Residential,,2005,2.0
550,AURANGABAD,Residential,,2005,3.0
556,AURANGABAD,Sensitive Area,,2005,5.0
557,AURANGABAD,Sensitive Area,,2005,6.0
551,AURANGABAD,Residential,,2005,7.0
552,AURANGABAD,Residential,,2005,8.0
553,AURANGABAD,Residential,,2005,9.0
554,AURANGABAD,Residential,,2005,10.0
555,AURANGABAD,Residential,,2005,12.0
558,AURANGABAD,Sensitive Area,,2005,12.0
309,AURANGABAD,Residential,,2006,1.0
321,AURANGABAD,Sensitive Area,,2006,1.0
310,AURANGABAD,Residential,0.0,2006,2.0
322,AURANGABAD,Sensitive Area,0.0,2006,2.0
311,AURANGABAD,Residential,1.0,2006,3.0
323,AURANGABAD,Sensitive Area,1.0,2006,3.0
312,AURANGABAD,Residential,1.0,2006,4.0
324,AURANGABAD,Sensitive Area,1.0,2006,4.0
313,AURANGABAD,Residential,1.0,2006,5.0
325,AURANGABAD,Sensitive Area,0.0,2006,5.0
314,AURANGABAD,Residential,0.0,2006,6.0
326,AURANGABAD,Sensitive Area,1.0,2006,6.0
315,AURANGABAD,Residential,1.0,2006,7.0
327,AURANGABAD,Sensitive Area,0.0,2006,7.0
316,AURANGABAD,Residential,1.0,2006,8.0
328,AURANGABAD,Sensitive Area,1.0,2006,8.0
317,AURANGABAD,Residential,0.0,2006,9.0
329,AURANGABAD,Sensitive Area,1.0,2006,9.0
318,AURANGABAD,Residential,1.0,2006,10.0
330,AURANGABAD,Sensitive Area,1.0,2006,10.0
319,AURANGABAD,Residential,1.0,2006,11.0
331,AURANGABAD,Sensitive Area,0.0,2006,11.0
320,AURANGABAD,Residential,1.0,2006,12.0
332,AURANGABAD,Sensitive Area,1.0,2006,12.0
333,AURANGABAD,Residential,1.0,2007,1.0
345,AURANGABAD,Sensitive Area,1.0,2007,1.0
334,AURANGABAD,Residential,0.0,2007,2.0
346,AURANGABAD,Sensitive Area,1.0,2007,2.0
335,AURANGABAD,Residential,1.0,2007,3.0
347,AURANGABAD,Sensitive Area,1.0,2007,3.0
336,AURANGABAD,Residential,0.0,2007,4.0
348,AURANGABAD,Sensitive Area,0.0,2007,4.0
337,AURANGABAD,Residential,1.0,2007,5.0
349,AURANGABAD,Sensitive Area,1.0,2007,5.0
338,AURANGABAD,Residential,0.0,2007,6.0
350,AURANGABAD,Sensitive Area,0.0,2007,6.0
339,AURANGABAD,Residential,1.0,2007,7.0
351,AURANGABAD,Sensitive Area,1.0,2007,7.0
340,AURANGABAD,Residential,0.0,2007,8.0
352,AURANGABAD,Sensitive Area,1.0,2007,8.0
341,AURANGABAD,Residential,1.0,2007,9.0
353,AURANGABAD,Sensitive Area,1.0,2007,9.0
342,AURANGABAD,Residential,2.0,2007,10.0
354,AURANGABAD,Sensitive Area,1.0,2007,10.0
343,AURANGABAD,Residential,0.0,2007,11.0
355,AURANGABAD,Sensitive Area,1.0,2007,11.0
344,AURANGABAD,Residential,1.0,2007,12.0
356,AURANGABAD,Sensitive Area,1.0,2007,12.0
357,AURANGABAD,Residential,1.0,2008,1.0
369,AURANGABAD,Sensitive Area,1.0,2008,1.0
358,AURANGABAD,Residential,0.0,2008,2.0
370,AURANGABAD,Sensitive Area,1.0,2008,2.0
359,AURANGABAD,Residential,0.0,2008,3.0
371,AURANGABAD,Sensitive Area,1.0,2008,3.0
360,AURANGABAD,Residential,1.0,2008,4.0
372,AURANGABAD,Sensitive Area,0.0,2008,4.0
361,AURANGABAD,Residential,1.0,2008,5.0
373,AURANGABAD,Sensitive Area,1.0,2008,5.0
362,AURANGABAD,Residential,0.0,2008,6.0
374,AURANGABAD,Sensitive Area,1.0,2008,6.0
363,AURANGABAD,Residential,0.0,2008,7.0
375,AURANGABAD,Sensitive Area,0.0,2008,7.0
364,AURANGABAD,Residential,1.0,2008,8.0
376,AURANGABAD,Sensitive Area,1.0,2008,8.0
365,AURANGABAD,Residential,0.0,2008,9.0
377,AURANGABAD,Sensitive Area,1.0,2008,9.0
366,AURANGABAD,Residential,1.0,2008,10.0
378,AURANGABAD,Sensitive Area,1.0,2008,10.0
367,AURANGABAD,Residential,1.0,2008,11.0
379,AURANGABAD,Sensitive Area,1.0,2008,11.0
368,AURANGABAD,Residential,1.0,2008,12.0
380,AURANGABAD,Sensitive Area,0.0,2008,12.0
381,AURANGABAD,Residential,0.0,2009,1.0
393,AURANGABAD,Sensitive Area,1.0,2009,1.0
382,AURANGABAD,Residential,1.0,2009,2.0
394,AURANGABAD,Sensitive Area,1.0,2009,2.0
383,AURANGABAD,Residential,1.0,2009,3.0
395,AURANGABAD,Sensitive Area,0.0,2009,3.0
384,AURANGABAD,Residential,0.0,2009,4.0
396,AURANGABAD,Sensitive Area,1.0,2009,4.0
385,AURANGABAD,Residential,1.0,2009,5.0
397,AURANGABAD,Sensitive Area,0.0,2009,5.0
386,AURANGABAD,Residential,0.0,2009,6.0
398,AURANGABAD,Sensitive Area,1.0,2009,6.0
387,AURANGABAD,Residential,1.0,2009,7.0
399,AURANGABAD,Sensitive Area,1.0,2009,7.0
388,AURANGABAD,Residential,0.0,2009,8.0
400,AURANGABAD,Sensitive Area,1.0,2009,8.0
389,AURANGABAD,Residential,1.0,2009,9.0
401,AURANGABAD,Sensitive Area,1.0,2009,9.0
390,AURANGABAD,Residential,1.0,2009,10.0
402,AURANGABAD,Sensitive Area,1.0,2009,10.0
391,AURANGABAD,Residential,1.0,2009,11.0
403,AURANGABAD,Sensitive Area,1.0,2009,11.0
392,AURANGABAD,Residential,1.0,2009,12.0
404,AURANGABAD,Sensitive Area,0.0,2009,12.0
405,AURANGABAD,Residential,1.0,2010,1.0
417,AURANGABAD,Sensitive Area,1.0,2010,1.0
406,AURANGABAD,Residential,0.0,2010,2.0
418,AURANGABAD,Sensitive Area,1.0,2010,2.0
407,AURANGABAD,Residential,1.0,2010,3.0
419,AURANGABAD,Sensitive Area,1.0,2010,3.0
408,AURANGABAD,Residential,1.0,2010,4.0
420,AURANGABAD,Sensitive Area,1.0,2010,4.0
409,AURANGABAD,Residential,1.0,2010,5.0
421,AURANGABAD,Sensitive Area,1.0,2010,5.0
410,AURANGABAD,Residential,0.0,2010,6.0
422,AURANGABAD,Sensitive Area,0.0,2010,6.0
411,AURANGABAD,Residential,0.0,2010,7.0
423,AURANGABAD,Sensitive Area,1.0,2010,7.0
412,AURANGABAD,Residential,1.0,2010,8.0
424,AURANGABAD,Sensitive Area,1.0,2010,8.0
413,AURANGABAD,Residential,1.0,2010,9.0
425,AURANGABAD,Sensitive Area,1.0,2010,9.0
414,AURANGABAD,Residential,1.0,2010,10.0
426,AURANGABAD,Sensitive Area,0.0,2010,10.0
415,AURANGABAD,Residential,0.0,2010,11.0
427,AURANGABAD,Sensitive Area,1.0,2010,11.0
416,AURANGABAD,Residential,1.0,2010,12.0
428,AURANGABAD,Sensitive Area,1.0,2010,12.0
429,AURANGABAD,Residential,,2011,1.0
441,AURANGABAD,Sensitive Area,,2011,1.0
430,AURANGABAD,Residential,,2011,2.0
442,AURANGABAD,Sensitive Area,,2011,2.0
431,AURANGABAD,Residential,,2011,3.0
443,AURANGABAD,Sensitive Area,,2011,3.0
432,AURANGABAD,Residential,,2011,4.0
444,AURANGABAD,Sensitive Area,,2011,4.0
433,AURANGABAD,Residential,,2011,5.0
445,AURANGABAD,Sensitive Area,,2011,5.0
434,AURANGABAD,Residential,,2011,6.0
446,AURANGABAD,Sensitive Area,,2011,6.0
435,AURANGABAD,Residential,,2011,7.0
447,AURANGABAD,Sensitive Area,,2011,7.0
436,AURANGABAD,Residential,,2011,8.0
448,AURANGABAD,Sensitive Area,,2011,8.0
437,AURANGABAD,Residential,,2011,9.0
449,AURANGABAD,Sensitive Area,,2011,9.0
438,AURANGABAD,Residential,,2011,10.0
450,AURANGABAD,Sensitive Area,,2011,10.0
439,AURANGABAD,Residential,,2011,11.0
451,AURANGABAD,Sensitive Area,,2011,11.0
440,AURANGABAD,Residential,,2011,12.0
452,AURANGABAD,Sensitive Area,,2011,12.0
453,AURANGABAD,Residential,,2012,1.0
465,AURANGABAD,Sensitive Area,,2012,1.0
454,AURANGABAD,Residential,,2012,2.0
466,AURANGABAD,Sensitive Area,,2012,2.0
455,AURANGABAD,Residential,,2012,3.0
467,AURANGABAD,Sensitive Area,,2012,3.0
456,AURANGABAD,Residential,,2012,4.0
468,AURANGABAD,Sensitive Area,,2012,4.0
457,AURANGABAD,Residential,,2012,5.0
469,AURANGABAD,Sensitive Area,,2012,5.0
458,AURANGABAD,Residential,,2012,6.0
470,AURANGABAD,Sensitive Area,,2012,6.0
459,AURANGABAD,Residential,,2012,7.0
471,AURANGABAD,Sensitive Area,,2012,7.0
460,AURANGABAD,Residential,,2012,8.0
472,AURANGABAD,Sensitive Area,,2012,8.0
461,AURANGABAD,Residential,,2012,9.0
473,AURANGABAD,Sensitive Area,,2012,9.0
462,AURANGABAD,Residential,,2012,10.0
474,AURANGABAD,Sensitive Area,,2012,10.0
463,AURANGABAD,Residential,,2012,11.0
475,AURANGABAD,Sensitive Area,,2012,11.0
464,AURANGABAD,Residential,,2012,12.0
476,AURANGABAD,Sensitive Area,,2012,12.0
477,AURANGABAD,Residential,,2013,1.0
489,AURANGABAD,Sensitive Area,,2013,1.0
478,AURANGABAD,Residential,,2013,2.0
490,AURANGABAD,Sensitive Area,,2013,2.0
479,AURANGABAD,Residential,,2013,3.0
491,AURANGABAD,Sensitive Area,,2013,3.0
480,AURANGABAD,Residential,,2013,4.0
492,AURANGABAD,Sensitive Area,,2013,4.0
481,AURANGABAD,Residential,,2013,5.0
493,AURANGABAD,Sensitive Area,,2013,5.0
482,AURANGABAD,Residential,,2013,6.0
494,AURANGABAD,Sensitive Area,,2013,6.0
483,AURANGABAD,Residential,,2013,7.0
495,AURANGABAD,Sensitive Area,,2013,7.0
484,AURANGABAD,Residential,,2013,8.0
496,AURANGABAD,Sensitive Area,,2013,8.0
485,AURANGABAD,Residential,,2013,9.0
497,AURANGABAD,Sensitive Area,,2013,9.0
486,AURANGABAD,Residential,,2013,10.0
498,AURANGABAD,Sensitive Area,,2013,10.0
487,AURANGABAD,Residential,,2013,11.0
499,AURANGABAD,Sensitive Area,,2013,11.0
488,AURANGABAD,Residential,,2013,12.0
500,AURANGABAD,Sensitive Area,,2013,12.0
501,AURANGABAD,Residential,,2014,1.0
513,AURANGABAD,Sensitive Area,,2014,1.0
502,AURANGABAD,Residential,,2014,2.0
514,AURANGABAD,Sensitive Area,,2014,2.0
503,AURANGABAD,Residential,,2014,3.0
515,AURANGABAD,Sensitive Area,,2014,3.0
504,AURANGABAD,Residential,,2014,4.0
516,AURANGABAD,Sensitive Area,,2014,4.0
505,AURANGABAD,Residential,,2014,5.0
517,AURANGABAD,Sensitive Area,,2014,5.0
506,AURANGABAD,Residential,,2014,6.0
518,AURANGABAD,Sensitive Area,,2014,6.0
507,AURANGABAD,Residential,,2014,7.0
519,AURANGABAD,Sensitive Area,,2014,7.0
508,AURANGABAD,Residential,,2014,8.0
520,AURANGABAD,Sensitive Area,,2014,8.0
509,AURANGABAD,Residential,,2014,9.0
521,AURANGABAD,Sensitive Area,,2014,9.0
510,AURANGABAD,Residential,,2014,10.0
522,AURANGABAD,Sensitive Area,,2014,10.0
511,AURANGABAD,Residential,,2014,11.0
523,AURANGABAD,Sensitive Area,,2014,11.0
512,AURANGABAD,Residential,,2014,12.0
524,AURANGABAD,Sensitive Area,,2014,12.0
525,AURANGABAD,Residential,,2015,1.0
537,AURANGABAD,Sensitive Area,,2015,1.0
526,AURANGABAD,Residential,,2015,2.0
538,AURANGABAD,Sensitive Area,,2015,2.0
527,AURANGABAD,Residential,,2015,3.0
539,AURANGABAD,Sensitive Area,,2015,3.0
528,AURANGABAD,Residential,,2015,4.0
540,AURANGABAD,Sensitive Area,,2015,4.0
529,AURANGABAD,Residential,,2015,5.0
541,AURANGABAD,Sensitive Area,,2015,5.0
530,AURANGABAD,Residential,,2015,6.0
542,AURANGABAD,Sensitive Area,,2015,6.0
531,AURANGABAD,Residential,,2015,7.0
543,AURANGABAD,Sensitive Area,,2015,7.0
532,AURANGABAD,Residential,,2015,8.0
544,AURANGABAD,Sensitive Area,,2015,8.0
533,AURANGABAD,Residential,,2015,9.0
545,AURANGABAD,Sensitive Area,,2015,9.0
534,AURANGABAD,Residential,,2015,10.0
546,AURANGABAD,Sensitive Area,,2015,10.0
535,AURANGABAD,Residential,,2015,11.0
547,AURANGABAD,Sensitive Area,,2015,11.0
536,AURANGABAD,Residential,,2015,12.0
548,AURANGABAD,Sensitive Area,,2015,12.0
570,BADLAPUR,Industrial,,2010,1.0
571,BADLAPUR,Industrial,1.0,2010,2.0
572,BADLAPUR,Industrial,1.0,2010,3.0
573,BADLAPUR,Industrial,1.0,2010,4.0
574,BADLAPUR,Industrial,1.0,2010,5.0
575,BADLAPUR,Industrial,0.0,2010,6.0
576,BADLAPUR,Industrial,1.0,2010,7.0
577,BADLAPUR,Industrial,1.0,2010,8.0
578,BADLAPUR,Industrial,1.0,2010,9.0
579,BADLAPUR,Industrial,1.0,2010,10.0
580,BADLAPUR,Industrial,1.0,2010,11.0
581,BADLAPUR,Industrial,1.0,2010,12.0
582,BADLAPUR,Industrial,,2011,1.0
583,BADLAPUR,Industrial,,2011,2.0
584,BADLAPUR,Industrial,,2011,3.0
585,BADLAPUR,Industrial,,2011,4.0
586,BADLAPUR,Industrial,,2011,5.0
587,BADLAPUR,Industrial,,2011,6.0
588,BADLAPUR,Industrial,,2011,7.0
589,BADLAPUR,Industrial,,2011,8.0
590,BADLAPUR,Industrial,,2011,9.0
591,BADLAPUR,Industrial,,2011,10.0
592,BADLAPUR,Industrial,,2011,11.0
593,BADLAPUR,Industrial,,2011,12.0
