,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff
22,Akola,Industrial,20120110,2012,11,12.0,146.33,10.0,,1.5,2.5,12.0,,11.0,140.33,9.0,,2.0,1.2999999999999998,11.998999999999995,,12.0,149.0,11.0,,1.0,1.0,2.0,9.53200000000001,
23,Akola,Industrial,20120120,2012,12,13.0,152.83,11.5,,1.5,1.0,6.5,,10.8,130.16400000000002,8.899999999999997,,-0.1999999999999993,-0.1000000000000032,-10.165999999999997,,14.0,155.80299999999997,12.0,,1.0,2.0,1.0,6.802999999999969,
24,Akola,Industrial,20130010,2013,1,11.5,155.0,10.0,,-1.5,-1.5,2.1699999999999875,,8.899999999999997,134.4,7.9,,-1.900000000000004,-0.9999999999999964,4.23599999999999,,13.0,161.2,11.0,,-11.0,-1.0,-1.0,5.39700000000002,
25,Akola,Industrial,20130020,2013,2,12.0,146.5,10.0,,0.0,0.5,-8.5,,10.4,140.0,8.7,,1.5000000000000036,0.7999999999999989,5.599999999999994,,12.0,150.3,10.0,,1.0,-1.0,-1.0,-10.899999999999977,
26,Akola,Industrial,20130080,2013,8,8.0,121.0,7.0,,,,,,7.0,118.0,7.0,,,,,,9.0,125.4,7.4,,6.0,,,,
27,Akola,Industrial,20130090,2013,9,8.0,122.0,7.0,,0.0,0.0,1.0,,7.0,119.4,6.0,,0.0,-1.0,1.4000000000000057,,8.3,126.0,7.0,,1.0,-0.6999999999999993,-0.40000000000000036,0.5999999999999943,
28,Akola,Industrial,20130100,2013,10,8.0,125.5,7.5,,0.5,0.0,3.5,,8.0,120.9,7.0,,1.0,1.0,1.5,,9.0,128.0,8.0,,1.0,0.6999999999999993,1.0,2.0,
29,Akola,Industrial,20130110,2013,11,7.0,130.0,6.0,,-1.5,-1.0,4.5,,6.7,129.0,5.699999999999998,,-1.2999999999999998,-1.3000000000000016,8.099999999999994,,8.0,130.60000000000002,7.0,,1.0,-1.0,-1.0,2.6000000000000227,
30,Akola,Industrial,20130120,2013,12,9.0,140.5,8.0,,2.0,2.0,10.5,,9.0,137.0,8.0,,2.3,2.3000000000000016,8.0,,10.0,142.0,8.0,,1.0,2.0,1.0,11.399999999999977,
31,Akola,Industrial,20150010,2015,1,9.0,127.0,7.0,,-1.0,0.0,-13.5,,8.8,124.8,7.0,,-0.1999999999999993,-1.0,-12.200000000000003,,10.0,128.2,8.0,,-11.0,0.0,0.0,-13.800000000000011,
32,Akola,Industrial,20150020,2015,2,9.5,129.0,8.0,,1.0,0.5,2.0,,9.0,127.7,7.0,,0.1999999999999993,0.0,2.9000000000000057,,10.0,130.0,8.0,,1.0,0.0,0.0,1.8000000000000114,
33,Akola,Industrial,20150030,2015,3,9.5,127.0,8.0,,0.0,0.0,-2.0,,9.0,125.7,7.0,,0.0,0.0,-2.0,,10.3,131.3,8.3,,1.0,0.3000000000000007,0.3000000000000007,1.3000000000000114,
34,Akola,Industrial,20150040,2015,4,9.0,125.0,7.0,,-1.0,-0.5,-2.0,,9.0,122.9,6.0,,0.0,-1.0,-2.799999999999997,,10.0,127.1,7.1,,1.0,-0.3000000000000007,-1.200000000000001,-4.200000000000017,
35,Akola,Industrial,20150050,2015,5,9.5,126.5,8.0,,1.0,0.5,1.5,,9.0,123.7,7.0,,0.0,1.0,0.7999999999999972,,10.0,130.3,8.0,,1.0,0.0,0.9000000000000004,3.200000000000017,
36,Akola,Industrial,20150060,2015,6,9.0,121.5,7.0,,-1.0,-0.5,-5.0,,8.7,120.7,6.0,,-0.3000000000000007,-1.0,-3.0,,10.0,124.0,8.0,,1.0,0.0,0.0,-6.300000000000011,
37,Akola,Industrial,20150070,2015,7,9.0,124.0,7.0,,0.0,0.0,2.5,,8.899999999999997,121.6,6.0,,0.1999999999999975,0.0,0.8999999999999915,,10.0,126.1,8.1,,1.0,0.0,0.09999999999999964,2.0999999999999943,
38,Akola,Industrial,20150090,2015,9,10.0,129.0,9.0,,,,,,8.8,124.6,8.0,,,,,,10.2,133.4,9.2,,2.0,,,,
39,Akola,Industrial,20150100,2015,10,11.0,129.0,9.0,,0.0,1.0,0.0,,9.8,126.6,8.0,,1.0,0.0,2.0,,11.0,134.2,10.0,,1.0,0.8000000000000007,0.8000000000000007,0.799999999999983,
