,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff
1277,Dombivli,Unknown,19970100,1997,10,17.4,,18.9,119.0,1.099999999999998,1.1999999999999993,,47.0,17.4,,18.9,119.0,1.1999999999999993,1.0999999999999979,,47.0,17.4,,18.9,119.0,1.0,1.1999999999999993,1.0999999999999979,,47.0
1278,Dombivli,Unknown,19970110,1997,11,14.1,,17.4,164.0,-1.5,-3.299999999999999,,45.0,14.1,,17.4,164.0,-3.299999999999999,-1.5,,45.0,14.1,,17.4,164.0,1.0,-3.299999999999999,-1.5,,45.0
1279,Dombivli,Unknown,19970120,1997,12,23.5,,24.2,316.0,6.800000000000002,9.4,,152.0,23.5,,24.2,316.0,9.4,6.800000000000001,,152.0,23.5,,24.2,316.0,1.0,9.4,6.800000000000001,,152.0
1280,Dombivli,Unknown,19980010,1998,1,24.9,,57.2,298.0,33.0,1.3999999999999986,,-18.0,24.9,,57.2,298.0,1.3999999999999986,33.0,,-18.0,24.9,,57.2,298.0,-11.0,1.3999999999999986,33.0,,-18.0
1281,Dombivli,Unknown,19980020,1998,2,23.6,,38.3,389.0,-18.900000000000006,-1.2999999999999972,,91.0,23.6,,38.3,389.0,-1.2999999999999972,-18.900000000000006,,91.0,23.6,,38.3,389.0,1.0,-1.2999999999999972,-18.900000000000006,,91.0
1282,Dombivli,Unknown,19980030,1998,3,26.6,,22.0,,-16.299999999999994,3.0,,,26.6,,22.0,,3.0,-16.299999999999997,,,26.6,,22.0,,1.0,3.0,-16.299999999999997,,
1283,Dombivli,Unknown,19980040,1998,4,26.1,,12.6,,-9.4,-0.5,,,26.1,,12.6,,-0.5,-9.4,,,26.1,,12.6,,1.0,-0.5,-9.4,,
1284,Dombivli,Unknown,19980050,1998,5,20.6,,17.0,,4.4,-5.5,,,20.6,,17.0,,-5.5,4.4,,,20.6,,17.0,,1.0,-5.5,4.4,,
1285,Dombivli,Unknown,19980110,1998,11,70.2,,68.0,,,,,,70.2,,68.0,,,,,,70.2,,68.0,,6.0,,,,
1286,Dombivli,Unknown,19980120,1998,12,57.6,,68.0,,0.0,-12.6,,,57.6,,68.0,,-12.600000000000001,0.0,,,57.6,,68.0,,1.0,-12.600000000000001,0.0,,
1287,Dombivli,Unknown,19990030,1999,3,27.2,,42.6,,,,,,27.2,,42.6,,,,,,27.2,,42.6,,-9.0,,,,
1288,Dombivli,Unknown,19990040,1999,4,22.4,,19.4,,-23.200000000000006,-4.800000000000002,,,22.4,,19.4,,-4.800000000000001,-23.200000000000003,,,22.4,,19.4,,1.0,-4.800000000000001,-23.200000000000003,,
1289,Dombivli,Unknown,19990050,1999,5,18.5,,38.3,,18.9,-3.899999999999999,,,18.5,,38.3,,-3.8999999999999986,18.9,,,18.5,,38.3,,1.0,-3.8999999999999986,18.9,,
1290,Dombivli,Unknown,19990060,1999,6,24.8,,20.9,35.0,-17.4,6.300000000000002,,,24.8,,20.9,35.0,6.300000000000001,-17.4,,,24.8,,20.9,35.0,1.0,6.300000000000001,-17.4,,
1291,Dombivli,Unknown,19990070,1999,7,22.2,,20.6,,-0.2999999999999972,-2.6000000000000014,,,22.2,,20.6,,-2.6000000000000014,-0.29999999999999716,,,22.2,,20.6,,1.0,-2.6000000000000014,-0.29999999999999716,,
1292,Dombivli,Unknown,19990080,1999,8,47.5,,20.0,,-0.6000000000000014,25.3,,,47.5,,20.0,,25.3,-0.6000000000000014,,,47.5,,20.0,,1.0,25.3,-0.6000000000000014,,
1293,Dombivli,Unknown,19990090,1999,9,33.3,,35.2,37.0,15.200000000000005,-14.200000000000005,,,33.3,,35.2,37.0,-14.200000000000003,15.200000000000003,,,33.3,,35.2,37.0,1.0,-14.200000000000003,15.200000000000003,,
1294,Dombivli,Unknown,19990100,1999,10,30.0,,39.0,,3.799999999999997,-3.299999999999997,,,30.0,,39.0,,-3.299999999999997,3.799999999999997,,,30.0,,39.0,,1.0,-3.299999999999997,3.799999999999997,,
1295,Dombivli,Unknown,19990110,1999,11,26.1,,41.3,,2.299999999999997,-3.899999999999999,,,26.1,,41.3,,-3.8999999999999986,2.299999999999997,,,26.1,,41.3,,1.0,-3.8999999999999986,2.299999999999997,,
1296,Dombivli,Unknown,19990120,1999,12,53.4,,61.6,60.0,20.300000000000004,27.3,,,53.4,,61.6,60.0,27.299999999999997,20.300000000000004,,,53.4,,61.6,60.0,1.0,27.299999999999997,20.300000000000004,,
1297,Dombivli,Unknown,20000010,2000,1,71.7,,48.3,,-13.300000000000004,18.300000000000004,,,71.7,,48.3,,18.300000000000004,-13.300000000000004,,,71.7,,48.3,,-11.0,18.300000000000004,-13.300000000000004,,
1298,Dombivli,Unknown,20000020,2000,2,94.0,,39.5,,-8.799999999999997,22.3,,,94.0,,39.5,,22.299999999999997,-8.799999999999997,,,94.0,,39.5,,1.0,22.299999999999997,-8.799999999999997,,
1299,Dombivli,Unknown,20000030,2000,3,76.0,,50.7,,11.200000000000005,-18.0,,,76.0,,50.7,,-18.0,11.200000000000003,,,76.0,,50.7,,1.0,-18.0,11.200000000000003,,
1300,Dombivli,Unknown,20000060,2000,6,21.8,,30.2,,,,,,21.8,,30.2,,,,,,21.8,,30.2,,3.0,,,,
1301,Dombivli,Unknown,20000070,2000,7,27.8,,29.7,,-0.5,6.0,,,27.8,,29.7,,6.0,-0.5,,,27.8,,29.7,,1.0,6.0,-0.5,,
1302,Dombivli,Unknown,20000080,2000,8,41.2,,28.5,,-1.1999999999999993,13.400000000000002,,,41.2,,28.5,,13.400000000000002,-1.1999999999999993,,,41.2,,28.5,,1.0,13.400000000000002,-1.1999999999999993,,
1303,Dombivli,Unknown,20000090,2000,9,32.3,,33.3,,4.799999999999997,-8.900000000000006,,,32.3,,33.3,,-8.900000000000006,4.799999999999997,,,32.3,,33.3,,1.0,-8.900000000000006,4.799999999999997,,
1304,Greater Mumbai,Industrial,20050010,2005,1,30.9,125.0,48.0,,,,,,16.900000000000002,84.4,14.1,,,,,,54.06,167.2,68.0,,,,,,
1305,Greater Mumbai,Industrial,20050020,2005,2,39.35,92.0,47.5,,-0.5,8.450000000000003,-33.0,,25.07,57.3,24.85,,8.169999999999998,10.750000000000002,-27.10000000000001,,58.05000000000001,202.60000000000008,68.0,,1.0,3.990000000000009,0.0,35.40000000000009,
1306,Greater Mumbai,Industrial,20050030,2005,3,34.9,87.5,31.8,,-15.700000000000005,-4.450000000000003,-4.5,,21.75,43.6,18.1,,-3.3200000000000003,-6.75,-13.699999999999996,,40.31,136.5,53.72,,1.0,-17.74000000000001,-14.280000000000001,-66.10000000000008,
1307,Greater Mumbai,Industrial,20050040,2005,4,31.0,79.0,24.5,293.0,-7.299999999999998,-3.899999999999999,-8.5,,18.36,37.40000000000001,9.6,293.0,-3.3900000000000006,-8.500000000000002,-6.199999999999989,,46.90000000000001,128.0,39.5,293.0,1.0,6.5900000000000105,-14.219999999999999,-8.5,
1308,Greater Mumbai,Industrial,20050050,2005,5,33.2,43.0,27.5,,3.0,2.200000000000003,-36.0,,15.1,28.0,13.15,,-3.26,3.5500000000000007,-9.400000000000013,,60.0,124.0,44.15,,1.0,13.099999999999987,4.649999999999999,-4.0,
1309,Greater Mumbai,Industrial,20050060,2005,6,23.6,87.0,15.7,,-11.8,-9.6,44.0,,12.2,39.8,5.99,,-2.9000000000000004,-7.16,11.799999999999997,,37.1,123.4,37.82000000000001,,1.0,-22.9,-6.329999999999991,-0.5999999999999943,
1310,Greater Mumbai,Industrial,20050070,2005,7,32.75,59.0,15.35,,-0.34999999999999964,9.15,-28.0,,23.25,47.2,9.53,,11.05,3.539999999999999,7.400000000000006,,42.15,91.9,56.84000000000001,,1.0,5.049999999999997,19.020000000000003,-31.5,
1311,Greater Mumbai,Industrial,20050080,2005,8,31.5,93.0,50.3,,34.95,-1.25,34.0,,15.12,51.3,18.56,,-8.13,9.03,4.099999999999994,,52.66000000000001,139.39999999999998,68.0,,1.0,10.510000000000012,11.15999999999999,47.49999999999997,
1312,Greater Mumbai,Industrial,20050090,2005,9,27.7,56.5,37.35,,-12.949999999999996,-3.8000000000000007,-36.5,,17.060000000000002,31.5,13.5,,1.940000000000003,-5.059999999999999,-19.799999999999997,,62.40000000000003,104.0,68.0,,1.0,9.740000000000016,0.0,-35.39999999999998,
1313,Greater Mumbai,Industrial,20050100,2005,10,48.2,86.0,28.3,,-9.05,20.500000000000004,29.5,,22.64,34.90000000000001,6.35,,5.579999999999998,-7.15,3.400000000000013,,88.56,158.00000000000003,68.0,,1.0,26.159999999999975,0.0,54.00000000000003,
1314,Greater Mumbai,Industrial,20050110,2005,11,48.85,119.0,29.8,,1.5,0.6499999999999986,33.0,,16.45,37.8,13.36,,-6.190000000000001,7.01,2.8999999999999844,,92.83,199.6,67.6,,1.0,4.269999999999996,-0.4000000000000057,41.599999999999966,
1315,Greater Mumbai,Industrial,20050120,2005,12,78.4,138.0,35.95,,6.150000000000002,29.550000000000004,19.0,,34.6,58.0,21.25,,18.150000000000002,7.890000000000001,20.200000000000003,,94.0,205.0,63.85,,1.0,1.1700000000000017,-3.749999999999993,5.400000000000006,
1316,Greater Mumbai,Industrial,20060010,2006,1,47.05,88.0,20.2,107.0,-15.750000000000005,-31.35000000000001,-50.0,,34.40000000000001,56.4,9.16,107.0,-0.19999999999998863,-12.09,-1.6000000000000014,,94.0,120.40000000000003,68.0,107.0,-11.0,0.0,4.149999999999999,-84.59999999999997,
1317,Greater Mumbai,Industrial,20060020,2006,2,66.5,109.0,33.5,,13.3,19.450000000000006,21.0,,30.86,69.0,14.6,,-3.5400000000000134,5.4399999999999995,12.600000000000001,,94.0,147.2,68.0,,1.0,0.0,0.0,26.799999999999955,
1318,Greater Mumbai,Industrial,20060030,2006,3,41.0,96.0,13.2,,-20.3,-25.5,-13.0,,26.42,61.8,7.2,,-4.439999999999998,-7.3999999999999995,-7.200000000000003,,88.88,116.2,33.379999999999995,,1.0,-5.1200000000000045,-34.620000000000005,-30.999999999999986,
1319,Greater Mumbai,Industrial,20060040,2006,4,43.0,93.5,17.8,,4.600000000000001,2.0,-2.5,,27.56,75.2,7.1,,1.139999999999997,-0.10000000000000053,13.400000000000006,,83.2,122.3,31.78,,1.0,-5.679999999999993,-1.5999999999999943,6.099999999999994,
1320,Greater Mumbai,Industrial,20060050,2006,5,39.8,74.0,8.8,,-9.0,-3.200000000000003,-19.5,,26.48,54.5,4.42,,-1.0799999999999983,-2.6799999999999997,-20.700000000000003,,81.11999999999998,148.8,23.74000000000001,,1.0,-2.0800000000000267,-8.039999999999992,26.500000000000014,
1321,Greater Mumbai,Industrial,20060060,2006,6,42.0,62.5,16.8,,8.0,2.200000000000003,-11.5,,16.200000000000006,38.1,4.9,,-10.279999999999994,0.4800000000000004,-16.4,,94.0,124.60000000000004,43.94,,1.0,12.880000000000024,20.19999999999999,-24.199999999999974,
1322,Greater Mumbai,Industrial,20060070,2006,7,39.8,75.0,36.7,,19.9,-2.200000000000003,12.5,,9.580000000000002,53.0,4.0,,-6.6200000000000045,-0.9000000000000004,14.899999999999999,,69.41999999999999,95.5,68.0,,1.0,-24.580000000000013,24.060000000000002,-29.100000000000037,
1323,Greater Mumbai,Industrial,20060080,2006,8,41.3,62.0,10.2,,-26.500000000000004,1.5,-13.0,,28.74,41.8,7.4,,19.159999999999997,3.4000000000000004,-11.200000000000003,,57.9,131.8,25.96,,1.0,-11.519999999999989,-42.04,36.30000000000001,
1324,Greater Mumbai,Industrial,20060090,2006,9,47.3,76.0,8.5,,-1.6999999999999993,6.0,14.0,,17.76,41.6,6.06,,-10.979999999999997,-1.3400000000000007,-0.19999999999999574,,87.02000000000002,149.8,44.12000000000002,,1.0,29.120000000000026,18.160000000000018,18.0,
1325,Greater Mumbai,Industrial,20060100,2006,10,30.2,76.0,12.7,,4.199999999999998,-17.099999999999998,0.0,,19.3,56.0,6.8,,1.5399999999999991,0.7400000000000002,14.399999999999999,,57.2,165.0,29.5,,1.0,-29.82000000000002,-14.620000000000019,15.199999999999989,
1326,Greater Mumbai,Industrial,20060110,2006,11,30.7,79.0,17.95,,5.25,0.5,3.0,,19.18,55.60000000000001,6.12,,-0.120000000000001,-0.6799999999999997,-0.3999999999999915,,68.05,167.8,49.01000000000001,,1.0,10.849999999999994,19.510000000000012,2.8000000000000114,
1327,Greater Mumbai,Industrial,20060120,2006,12,38.0,115.0,16.3,,-1.6499999999999986,7.300000000000002,36.0,,24.03,52.40000000000001,6.6400000000000015,,4.850000000000001,0.5200000000000014,-3.1999999999999957,,59.040000000000006,178.8,19.36,,1.0,-9.009999999999991,-29.650000000000013,11.0,
1328,Greater Mumbai,Industrial,20070010,2007,1,35.3,119.0,17.8,,1.5,-2.700000000000003,4.0,,27.18,63.2,14.2,,3.1499999999999986,7.559999999999998,10.79999999999999,,42.89999999999999,138.8,39.92,,-11.0,-16.140000000000015,20.560000000000002,-40.0,
1329,Greater Mumbai,Industrial,20070020,2007,2,31.3,161.0,20.3,,2.5,-3.999999999999997,42.0,,20.58,89.80000000000003,9.82,,-6.600000000000001,-4.379999999999999,26.600000000000023,,70.16,188.2,64.32,,1.0,27.260000000000005,24.39999999999999,49.39999999999998,
1330,Greater Mumbai,Industrial,20070030,2007,3,30.8,139.0,33.2,,12.900000000000002,-0.5,-22.0,,18.18,105.0,25.32,,-2.3999999999999986,15.5,15.199999999999974,,49.94,254.4,51.74,,1.0,-20.22,-12.579999999999991,66.20000000000002,
1331,Greater Mumbai,Industrial,20070040,2007,4,29.45,138.5,26.45,,-6.750000000000004,-1.3500000000000014,-0.5,,14.3,52.0,17.25,,-3.879999999999999,-8.07,-53.0,,40.0,249.0,42.0,,1.0,-9.939999999999998,-9.740000000000002,-5.400000000000006,
1332,Greater Mumbai,Industrial,20070050,2007,5,27.2,95.0,31.5,,5.050000000000002,-2.25,-43.5,,21.64,61.0,17.1,,7.34,-0.14999999999999858,9.0,,33.9,140.6,48.36,,1.0,-6.100000000000001,6.359999999999999,-108.4,
1333,Greater Mumbai,Industrial,20070060,2007,6,32.85,66.0,26.0,,-5.5,5.650000000000002,-29.0,,20.94,39.4,12.46,,-0.6999999999999993,-4.640000000000001,-21.6,,40.85,133.20000000000005,45.35000000000001,,1.0,6.950000000000003,-3.009999999999991,-7.399999999999949,
1334,Greater Mumbai,Industrial,20070070,2007,7,30.2,55.5,16.2,,-9.8,-2.650000000000002,-10.5,,25.0,41.0,11.78,,4.059999999999999,-0.6800000000000015,1.6000000000000014,,35.46,104.9,41.98,,1.0,-5.390000000000001,-3.3700000000000117,-28.30000000000004,
1335,Greater Mumbai,Industrial,20070080,2007,8,30.5,43.0,25.2,,9.0,0.3000000000000007,-12.5,,21.26,37.2,13.6,,-3.7399999999999984,1.8200000000000003,-3.799999999999997,,35.37999999999999,125.0,46.33999999999999,,1.0,-0.0800000000000125,4.359999999999992,20.099999999999994,
1336,Greater Mumbai,Industrial,20070090,2007,9,33.3,41.0,24.7,,-0.5,2.799999999999997,-2.0,,24.52,26.8,16.02,,3.259999999999998,2.42,-10.400000000000002,,36.42,109.6,46.76,,1.0,1.0400000000000134,0.4200000000000088,-15.400000000000006,
1337,Greater Mumbai,Industrial,20070100,2007,10,37.2,94.0,35.65,,10.95,3.9000000000000057,53.0,,24.59,53.6,15.09,,0.07000000000000028,-0.9299999999999997,26.8,,41.90000000000001,148.0,45.84,,1.0,5.480000000000011,-0.9199999999999946,38.400000000000006,
1338,Greater Mumbai,Industrial,20070110,2007,11,41.35,128.5,38.75,,3.1000000000000014,4.149999999999999,34.5,,27.090000000000003,73.4,17.24,,2.5000000000000036,2.1499999999999986,19.800000000000004,,67.75,181.0,52.04,,1.0,25.849999999999987,6.199999999999996,33.0,
1339,Greater Mumbai,Industrial,20070120,2007,12,49.85,117.0,43.35,,4.600000000000001,8.5,-11.5,,27.56,63.2,27.370000000000005,,0.4699999999999953,10.130000000000006,-10.200000000000003,,84.44000000000003,219.9,51.46,,1.0,16.690000000000026,-0.5799999999999983,38.900000000000006,
1340,Greater Mumbai,Industrial,20080010,2008,1,51.75,124.5,37.95,,-5.399999999999999,1.8999999999999984,7.5,,48.65000000000001,103.2,30.4,,21.090000000000014,3.029999999999994,40.0,,55.1,181.6,50.06,,-11.0,-29.340000000000025,-1.3999999999999986,-38.30000000000001,
1341,Greater Mumbai,Industrial,20080020,2008,2,65.8,145.0,41.0,,3.049999999999997,14.049999999999995,20.5,,55.0,94.4,34.260000000000005,,6.349999999999987,3.8600000000000065,-8.799999999999997,,70.66,245.6,51.46000000000001,,1.0,15.559999999999995,1.4000000000000057,64.0,
1342,Greater Mumbai,Industrial,20080030,2008,3,55.5,108.0,39.5,,-1.5,-10.299999999999997,-37.0,,51.92,66.4,27.700000000000006,,-3.0799999999999983,-6.559999999999999,-28.0,,64.22,157.0,60.3,,1.0,-6.439999999999998,8.83999999999999,-88.6,
1343,Greater Mumbai,Industrial,20080040,2008,4,48.2,84.0,33.8,,-5.700000000000002,-7.299999999999998,-24.0,,36.44,54.40000000000001,26.42,,-15.480000000000004,-1.2800000000000047,-11.999999999999993,,59.2,108.0,41.72,,1.0,-5.019999999999996,-18.58,-49.0,
1344,Greater Mumbai,Industrial,20080050,2008,5,62.8,60.0,31.4,,-2.3999999999999986,14.599999999999996,-24.0,,56.4,44.2,21.6,,19.96,-4.82,-10.20000000000001,,71.39,100.0,40.27,,1.0,12.189999999999998,-1.4499999999999957,-8.0,
1345,Greater Mumbai,Industrial,20080060,2008,6,49.3,44.0,31.8,,0.4000000000000021,-13.5,-16.0,,47.0,39.0,22.3,,-9.399999999999999,0.6999999999999993,-5.200000000000003,,58.3,94.0,41.2,,1.0,-13.090000000000003,0.9299999999999997,-6.0,
1346,Greater Mumbai,Industrial,20080070,2008,7,50.5,89.0,36.8,,4.9999999999999964,1.2000000000000028,45.0,,40.90000000000001,86.6,29.6,,-6.099999999999987,7.300000000000001,47.599999999999994,,52.1,187.40000000000003,44.4,,1.0,-6.199999999999996,3.1999999999999957,93.40000000000003,
1347,Greater Mumbai,Industrial,20080080,2008,8,45.5,103.0,34.7,,-2.0999999999999943,-5.0,14.0,,38.86000000000001,103.0,29.9,,-2.0400000000000063,0.29999999999999716,16.400000000000006,,52.14,103.0,39.5,,1.0,0.03999999999999915,-4.899999999999999,-84.40000000000003,
1348,Greater Mumbai,Industrial,20080090,2008,9,52.2,158.0,38.7,,4.0,6.700000000000002,55.0,,38.28,72.4,29.180000000000003,,-0.5800000000000054,-0.7199999999999953,-30.599999999999994,,55.8,178.0,52.7,,1.0,3.6599999999999966,13.200000000000003,75.0,
1349,Greater Mumbai,Industrial,20080100,2008,10,57.5,96.0,34.8,,-3.9000000000000057,5.299999999999997,-62.0,,45.42,37.2,29.32,,7.140000000000001,0.13999999999999702,-35.2,,66.7,130.8,51.36,,1.0,10.900000000000006,-1.3400000000000034,-47.19999999999999,
1350,Greater Mumbai,Industrial,20080110,2008,11,64.25,69.0,38.8,,4.0,6.75,-27.0,,59.56,46.3,27.33,,14.14,-1.990000000000002,9.099999999999994,,68.1,89.60000000000002,58.18000000000001,,1.0,1.3999999999999915,6.820000000000007,-41.19999999999999,
1351,Greater Mumbai,Industrial,20080120,2008,12,68.25,72.5,40.75,,1.9500000000000028,4.0,3.5,,59.75999999999999,52.5,30.96,,0.19999999999998863,3.6300000000000026,6.200000000000003,,72.75,110.70000000000002,59.99000000000001,,1.0,4.650000000000006,1.8100000000000023,21.099999999999994,
1352,Greater Mumbai,Residential,20060070,2006,7,33.5,57.0,9.5,,,,,,33.5,57.0,9.5,,,,,,33.5,57.0,9.5,,,,,,
1353,Greater Mumbai,Residential,20060110,2006,11,31.2,75.0,26.0,,,,,,25.6,50.8,10.52,,,,,,54.44000000000001,108.60000000000002,40.40000000000001,,4.0,,,,
1354,Jalgaon,Industrial,20110010,2011,1,53.0,157.0,26.0,,,,,,38.6,106.4,18.6,,,,,,55.4,159.4,27.8,,,,,,
1355,Jalgaon,Industrial,20110020,2011,2,52.0,157.5,25.5,,-0.5,-1.0,0.5,,48.1,131.4,20.7,,9.5,2.099999999999998,25.0,,54.6,163.89999999999995,27.3,,1.0,-0.7999999999999972,-0.5,4.499999999999943,
1356,Jalgaon,Industrial,20110030,2011,3,52.0,160.0,26.0,,0.5,0.0,2.5,,48.7,140.7,22.8,,0.6000000000000014,2.1000000000000014,9.299999999999983,,54.1,169.0,27.0,,1.0,-0.5,-0.3000000000000007,5.100000000000051,
1357,Jalgaon,Industrial,20110040,2011,4,49.0,148.0,24.5,,-1.5,-3.0,-12.0,,44.3,102.1,19.3,,-4.400000000000006,-3.5,-38.599999999999994,,50.6,160.0,26.3,,1.0,-3.5,-0.6999999999999993,-9.0,
1358,Jalgaon,Industrial,20110050,2011,5,49.0,134.0,21.0,,-3.5,0.0,-14.0,,47.0,121.8,20.0,,2.700000000000003,0.6999999999999993,19.700000000000003,,50.8,149.8,23.8,,1.0,0.19999999999999574,-2.5,-10.199999999999989,
1359,Jalgaon,Industrial,20110060,2011,6,49.0,123.5,20.5,,-0.5,0.0,-10.5,,45.6,110.2,17.1,,-1.3999999999999986,-2.8999999999999986,-11.599999999999994,,50.9,156.8,25.3,,1.0,0.10000000000000142,1.5,7.0,
1360,Jalgaon,Industrial,20110070,2011,7,44.5,114.0,20.0,,-0.5,-4.5,-9.5,,29.8,64.2,13.7,,-15.8,-3.400000000000002,-46.0,,50.39999999999999,154.4,24.0,,1.0,-0.5000000000000071,-1.3000000000000007,-2.4000000000000057,
1361,Jalgaon,Industrial,20110080,2011,8,43.5,114.5,20.5,,0.5,-1.0,0.5,,32.7,80.8,11.0,,2.900000000000002,-2.6999999999999993,16.599999999999994,,50.2,139.7,23.3,,1.0,-0.19999999999998863,-0.6999999999999993,-14.700000000000017,
1362,Jalgaon,Industrial,20110090,2011,9,36.0,117.0,22.0,,1.5,-7.5,2.5,,32.8,94.3,17.5,,0.09999999999999432,6.5,13.5,,52.1,159.2,26.1,,1.0,1.8999999999999986,2.8000000000000007,19.5,
1363,Jalgaon,Industrial,20110100,2011,10,50.0,132.0,22.0,,0.0,14.0,15.0,,47.2,122.4,20.2,,14.400000000000006,2.6999999999999993,28.10000000000001,,52.0,163.8,25.200000000000006,,1.0,-0.10000000000000142,-0.899999999999995,4.600000000000023,
1364,Jalgaon,Industrial,20110110,2011,11,52.0,138.0,23.0,,1.0,2.0,6.0,,40.6,123.8,18.8,,-6.600000000000001,-1.3999999999999986,1.3999999999999915,,52.4,142.2,23.0,,1.0,0.3999999999999986,-2.2000000000000064,-21.600000000000023,
1365,Jalgaon,Industrial,20110120,2011,12,52.0,146.0,25.0,,2.0,0.0,8.0,,48.8,136.2,21.6,,8.199999999999996,2.8000000000000007,12.399999999999991,,54.0,158.8,27.2,,1.0,1.6000000000000014,4.199999999999999,16.600000000000023,
1366,Jalgaon,Industrial,20120010,2012,1,86.0,149.0,44.0,,19.0,34.0,3.0,,50.0,129.7,24.1,,1.2000000000000028,2.5,-6.5,,94.0,165.0,68.0,,-11.0,40.0,40.8,6.199999999999989,
1367,Jalgaon,Industrial,20120020,2012,2,57.5,161.5,32.0,,-12.0,-28.5,12.5,,50.5,101.5,25.5,,0.5,1.3999999999999986,-28.19999999999999,,94.0,166.0,44.0,,1.0,0.0,-24.0,1.0,
1368,Jalgaon,Industrial,20120030,2012,3,55.0,156.0,27.0,,-5.0,-2.5,-5.5,,51.8,76.0,26.0,,1.2999999999999972,0.5,-25.5,,86.39999999999998,163.0,68.0,,1.0,-7.600000000000023,24.0,-3.0,
1369,Jalgaon,Industrial,20120040,2012,4,57.0,131.5,28.0,,1.0,2.0,-24.5,,45.7,84.4,23.8,,-6.099999999999994,-2.1999999999999993,8.400000000000006,,94.0,160.6,67.0,,1.0,7.600000000000023,-1.0,-2.4000000000000057,
1370,Jalgaon,Industrial,20120050,2012,5,56.0,144.0,28.0,,0.0,-1.0,12.5,,44.0,108.0,24.0,,-1.7000000000000028,0.1999999999999993,23.599999999999994,,94.0,163.0,68.0,,1.0,0.0,1.0,2.4000000000000057,
1371,Jalgaon,Industrial,20120060,2012,6,53.5,140.0,25.0,,-3.0,-2.5,-4.0,,50.5,106.5,23.5,,6.5,-0.5,-1.5,,94.0,154.0,51.5,,1.0,0.0,-16.5,-9.0,
1372,Jalgaon,Industrial,20120070,2012,7,85.0,140.0,55.0,,30.0,31.5,0.0,,51.1,106.0,25.0,,0.6000000000000014,1.5,-0.5,,94.0,179.8,64.8,,1.0,0.0,13.299999999999997,25.80000000000001,
1373,Jalgaon,Industrial,20120080,2012,8,59.0,137.5,33.5,,-21.5,-26.0,-2.5,,40.0,110.7,18.0,,-11.100000000000001,-7.0,4.700000000000003,,94.0,163.00000000000003,64.2,,1.0,0.0,-0.5999999999999943,-16.799999999999983,
1374,Jalgaon,Industrial,20120090,2012,9,52.5,136.0,26.5,,-7.0,-6.5,-1.5,,45.5,93.0,23.0,,5.5,5.0,-17.700000000000003,,94.0,156.5,62.5,,1.0,0.0,-1.7000000000000028,-6.500000000000028,
1375,Jalgaon,Industrial,20120100,2012,10,58.0,130.5,35.5,,9.0,5.5,-5.5,,43.3,73.30000000000003,21.3,,-2.200000000000003,-1.6999999999999993,-19.699999999999974,,94.0,143.3,44.8,,1.0,0.0,-17.700000000000003,-13.199999999999989,
1376,Jalgaon,Industrial,20120110,2012,11,54.5,135.5,30.5,,-5.0,-3.5,5.0,,50.5,87.2,22.8,,7.200000000000003,1.5,13.899999999999977,,94.0,155.3,59.90000000000001,,1.0,0.0,15.100000000000016,12.0,
1377,Jalgaon,Industrial,20120120,2012,12,54.0,140.0,26.0,,-4.5,-0.5,4.5,,41.5,88.5,22.5,,-9.0,-0.3000000000000007,1.2999999999999972,,83.0,159.0,42.5,,1.0,-11.0,-17.400000000000013,3.6999999999999886,
1378,Jalgaon,Industrial,20130010,2013,1,55.5,110.5,25.0,,-1.0,1.5,-29.5,,36.5,64.0,20.5,,-5.0,-2.0,-24.5,,65.5,163.5,29.5,,-11.0,-17.5,-13.0,4.5,
1379,Jalgaon,Industrial,20130020,2013,2,58.5,136.5,29.5,,4.5,3.0,26.0,,45.0,78.0,18.5,,8.5,-2.0,14.0,,73.5,171.0,32.5,,1.0,8.0,3.0,7.5,
1380,Jalgaon,Industrial,20130030,2013,3,56.0,120.0,29.0,,-0.5,-2.5,-16.5,,41.0,63.0,19.0,,-4.0,0.5,-15.0,,61.0,179.0,30.0,,1.0,-12.5,-2.5,8.0,
1381,Jalgaon,Industrial,20130040,2013,4,53.5,111.0,28.5,,-0.5,-2.5,-9.0,,34.0,67.0,16.5,,-7.0,-2.5,4.0,,63.5,177.0,37.5,,1.0,2.5,7.5,-2.0,
1382,Jalgaon,Industrial,20130050,2013,5,50.5,117.5,27.5,,-1.0,-3.0,6.5,,35.0,61.5,21.0,,1.0,4.5,-5.5,,61.5,165.0,42.5,,1.0,-2.0,5.0,-12.0,
1383,Jalgaon,Industrial,20130060,2013,6,47.0,101.0,22.0,,-5.5,-3.5,-16.5,,34.2,46.6,15.2,,-0.7999999999999972,-5.800000000000001,-14.899999999999999,,66.0,158.39999999999995,32.0,,1.0,4.5,-10.5,-6.600000000000051,
