,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff,year_number_diff,NO2_Median_YOY_diff,SO2_Median_YOY_diff,RSPM_PM10_Median_YOY_diff,SPM_Median_YOY_diff,NO2_P10_YOY_diff,SO2_P10_YOY_diff,RSPM_PM10_P10_YOY_diff,SPM_P10_YOY_diff,NO2_P90_YOY_diff,SO2_P90_YOY_diff,RSPM_PM10_P90_YOY_diff,SPM_P90_YOY_diff
16,Akola,Industrial,20150050,2015,5,9.5,126.5,8.0,,1.0,0.5,1.5,,9.0,123.7,7.0,,0.0,1.0,0.7999999999999972,,10.0,130.3,8.0,,1.0,0.0,0.9000000000000004,3.200000000000017,,3.0,,,,,,,,,,,,
17,Akola,Industrial,20110060,2011,6,11.0,126.0,9.0,,-3.0,-3.0,-22.0,,10.0,117.4,8.6,,-1.0,-1.0,-18.99999999999997,,12.8,146.4,10.8,,1.0,-1.799999999999999,-2.1999999999999993,-14.799999999999983,,-4.0,,,,,,,,,,,,
18,Akola,Industrial,20120060,2012,6,12.0,139.33,11.0,,-2.0,-2.5,-19.669999999999987,,6.800000000000002,109.4,8.6,,-3.799999999999998,-0.09999999999999964,-23.664000000000016,,14.0,151.60199999999998,13.0,,1.0,-1.0999999999999996,0.0,-14.728000000000037,,1.0,1.0,2.0,13.330000000000013,,-3.1999999999999984,0.0,-8.0,,1.1999999999999993,2.1999999999999993,5.20199999999997,
19,Akola,Industrial,20150060,2015,6,9.0,121.5,7.0,,-1.0,-0.5,-5.0,,8.7,120.7,6.0,,-0.3000000000000007,-1.0,-3.0,,10.0,124.0,8.0,,1.0,0.0,0.0,-6.300000000000011,,3.0,,,,,,,,,,,,
20,Akola,Industrial,20110070,2011,7,10.0,113.0,7.0,,-2.0,-1.0,-13.0,,9.7,78.9,5.699999999999998,,-0.3000000000000007,-2.9000000000000012,-38.5,,11.6,134.6,8.899999999999997,,1.0,-1.200000000000001,-1.900000000000004,-11.800000000000011,,-4.0,,,,,,,,,,,,
21,Akola,Industrial,20120070,2012,7,11.0,125.0,9.0,,-2.0,-1.0,-14.330000000000013,,8.2,107.334,7.2,,1.3999999999999977,-1.3999999999999995,-2.0660000000000025,,12.0,146.87,10.4,,1.0,-2.0,-2.5999999999999996,-4.731999999999971,,1.0,1.0,2.0,12.0,,-1.5,1.5000000000000018,28.433999999999997,,0.40000000000000036,1.5000000000000036,12.27000000000001,
22,Akola,Industrial,20150070,2015,7,9.0,124.0,7.0,,0.0,0.0,2.5,,8.899999999999997,121.6,6.0,,0.1999999999999975,0.0,0.8999999999999915,,10.0,126.1,8.1,,1.0,0.0,0.09999999999999964,2.0999999999999943,,3.0,,,,,,,,,,,,
23,Akola,Industrial,20110080,2011,8,9.0,131.0,8.0,,1.0,-1.0,18.0,,7.2,103.0,6.200000000000001,,-2.499999999999999,0.5000000000000027,24.099999999999994,,13.0,151.8,11.0,,1.0,1.4000000000000004,2.100000000000003,17.200000000000017,,-4.0,,,,,,,,,,,,
24,Akola,Industrial,20120080,2012,8,11.5,120.5,9.0,,0.0,0.5,-4.5,,10.0,106.3,7.4,,1.8000000000000007,0.20000000000000018,-1.034000000000006,,12.3,143.099,10.0,,1.0,0.3000000000000007,-0.40000000000000036,-3.771000000000015,,1.0,2.5,1.0,-10.5,,2.8,1.1999999999999993,3.299999999999997,,-0.6999999999999993,-1.0,-8.701000000000022,
25,Akola,Industrial,20130080,2013,8,8.0,121.0,7.0,,,,,,7.0,118.0,7.0,,,,,,9.0,125.4,7.4,,6.0,,,,,1.0,-3.5,-2.0,0.5,,-3.0,-0.40000000000000036,11.700000000000003,,-3.3000000000000007,-2.5999999999999996,-17.698999999999984,
