,City_Town_Village_Area,Type_of_Location,month_number,year_number,NO2,RSPM_PM10,SO2,SPM
0,Akola,Industrial,1,2011,10.4,129.0,7.800000000000001,
1,Akola,Industrial,1,2012,10.0,128.66899999999998,8.0,
2,Akola,Industrial,1,2013,8.899999999999999,134.4,7.9,
3,Akola,Industrial,1,2015,8.8,124.8,7.0,
4,Akola,Industrial,2,2011,10.2,138.2,8.2,
5,Akola,Industrial,2,2012,10.7,135.668,9.0,
6,Akola,Industrial,2,2013,10.4,140.0,8.7,
7,Akola,Industrial,2,2015,9.0,127.7,7.0,
8,Akola,Industrial,3,2011,10.0,139.0,9.0,
9,Akola,Industrial,3,2012,12.6,157.468,11.6,
10,Akola,Industrial,3,2015,9.0,125.69999999999999,7.0,
11,Akola,Industrial,4,2011,12.6,164.2,11.6,
12,Akola,Industrial,4,2012,9.0,119.832,7.0,
13,Akola,Industrial,4,2015,9.0,122.9,6.0,
14,Akola,Industrial,5,2011,11.0,136.39999999999998,9.600000000000001,
15,Akola,Industrial,5,2012,10.6,133.06400000000002,8.7,
16,Akola,Industrial,5,2015,9.0,123.7,7.0,
17,Akola,Industrial,6,2011,10.0,117.4,8.6,
18,Akola,Industrial,6,2012,6.800000000000001,109.4,8.6,
19,Akola,Industrial,6,2015,8.7,120.69999999999999,6.0,
20,Akola,Industrial,7,2011,9.7,78.9,5.699999999999999,
21,Akola,Industrial,7,2012,8.2,107.334,7.2,
22,Akola,Industrial,7,2015,8.899999999999999,121.6,6.0,
23,Akola,Industrial,8,2011,7.2,103.0,6.200000000000001,
24,Akola,Industrial,8,2012,10.0,106.30000000000001,7.4,
25,Akola,Industrial,8,2013,7.0,118.0,7.0,
26,Akola,Industrial,9,2011,10.0,131.4,7.7,
27,Akola,Industrial,9,2012,9.0,110.531,7.4,
28,Akola,Industrial,9,2013,7.0,119.4,6.0,
29,Akola,Industrial,9,2015,8.8,124.6,8.0,
30,Akola,Industrial,10,2011,8.5,126.0,7.5,
31,Akola,Industrial,10,2012,9.0,128.33100000000002,7.7,
32,Akola,Industrial,10,2013,8.0,120.9,7.0,
33,Akola,Industrial,10,2015,9.799999999999999,126.6,8.0,
34,Akola,Industrial,11,2011,10.200000000000001,136.6,8.2,
35,Akola,Industrial,11,2012,11.0,140.33,9.0,
36,Akola,Industrial,11,2013,6.7,129.0,5.699999999999999,
37,Akola,Industrial,11,2015,9.0,123.80000000000001,8.0,
38,Akola,Industrial,12,2011,10.4,136.7,9.4,
39,Akola,Industrial,12,2012,10.8,130.16400000000002,8.899999999999999,
40,Akola,Industrial,12,2013,9.0,137.0,8.0,
41,Akola,Industrial,12,2015,10.0,128.9,8.899999999999999,
42,Akola,Residential,1,2011,8.0,123.0,7.0,
43,Akola,Residential,1,2012,7.5,116.0,6.5,
44,Akola,Residential,1,2013,9.0,135.0,8.0,
45,Akola,Residential,1,2014,8.8,136.79999999999998,7.8,
46,Akola,Residential,1,2015,7.0,113.0,6.0,
47,Akola,Residential,2,2011,8.0,124.0,7.0,
48,Akola,Residential,2,2012,7.5,114.0,6.0,
49,Akola,Residential,2,2013,8.0,128.6666667,7.0,
50,Akola,Residential,2,2014,10.0,140.5,8.0,
51,Akola,Residential,2,2015,7.0,115.0,6.0,
52,Akola,Residential,3,2011,8.0,122.0,6.0,
53,Akola,Residential,3,2012,8.6,127.4,6.800000000000001,
54,Akola,Residential,3,2014,8.6,146.8,8.0,
55,Akola,Residential,3,2015,7.0,114.6,6.0,
56,Akola,Residential,4,2011,8.3,116.7,7.0,
57,Akola,Residential,4,2012,9.0,121.0,7.0,
58,Akola,Residential,4,2014,8.6,151.6,7.6,
59,Akola,Residential,4,2015,6.0,109.10000000000001,5.0,
60,Akola,Residential,5,2011,9.0,99.5,7.0,
61,Akola,Residential,5,2012,9.0,127.6,7.3,
62,Akola,Residential,5,2014,8.4,134.1,7.7,
63,Akola,Residential,5,2015,6.0,110.4,6.0,
64,Akola,Residential,6,2011,6.7,89.5,5.0,
65,Akola,Residential,6,2012,7.6,99.4,5.6,
66,Akola,Residential,6,2014,8.8,139.8,7.0,
67,Akola,Residential,6,2015,6.0,103.0,6.0,
68,Akola,Residential,7,2011,9.0,52.0,5.0,
69,Akola,Residential,7,2012,7.0,92.8,6.0,
70,Akola,Residential,7,2014,9.0,148.9,7.6,
71,Akola,Residential,7,2015,5.6,106.19999999999999,6.0,
72,Akola,Residential,8,2011,7.0,100.1,5.300000000000001,
73,Akola,Residential,8,2012,9.0,78.2,5.2,
74,Akola,Residential,8,2013,7.0,93.19999999999999,6.0,
75,Akola,Residential,8,2014,8.899999999999999,123.5,7.0,
76,Akola,Residential,9,2011,7.9,108.9,6.0,
77,Akola,Residential,9,2012,7.6,103.0,6.0,
78,Akola,Residential,9,2013,7.0,109.8,6.0,
79,Akola,Residential,9,2014,7.5,111.5,6.0,
80,Akola,Residential,9,2015,6.0,106.80000000000001,5.6,
81,Akola,Residential,10,2011,8.0,125.0,7.0,
82,Akola,Residential,10,2012,8.0,104.6,6.0,
83,Akola,Residential,10,2013,6.0,104.6,6.0,
84,Akola,Residential,10,2014,8.0,141.4,7.0,
85,Akola,Residential,10,2015,6.0,110.4,6.0,
86,Akola,Residential,11,2011,8.7,105.9,6.1000000000000005,
87,Akola,Residential,11,2012,8.8,109.8,6.800000000000001,
88,Akola,Residential,11,2013,7.0,120.1,6.0,
89,Akola,Residential,11,2014,8.0,141.0,7.0,
90,Akola,Residential,11,2015,7.0,111.5,6.5,
91,Akola,Residential,12,2011,9.0,104.5,5.7,
92,Akola,Residential,12,2012,8.6,124.19999999999999,7.0,
93,Akola,Residential,12,2013,8.0,122.7,6.7,
94,Akola,Residential,12,2014,8.4,131.4,6.7,
95,Akola,Residential,12,2015,7.0,109.0,6.0,
96,Amravati,Industrial,1,2006,12.4,,11.3,
97,Amravati,Industrial,1,2007,11.15,56.2,9.3,
98,Amravati,Industrial,1,2008,10.100000000000001,37.6,6.7,
99,Amravati,Industrial,1,2009,11.62,76.6,10.14,
100,Amravati,Industrial,1,2010,12.83333333,111.33333329999999,11.0,
101,Amravati,Industrial,1,2011,11.8,106.80000000000001,9.8,
102,Amravati,Industrial,1,2012,12.700000000000001,94.39999999999999,10.7,
103,Amravati,Industrial,1,2013,11.600000000000001,41.2,9.6,
104,Amravati,Industrial,1,2015,13.8,99.0,11.8,
105,Amravati,Industrial,2,2007,9.8,49.5,7.300000000000001,
106,Amravati,Industrial,2,2008,11.760000000000002,51.800000000000004,8.6,
107,Amravati,Industrial,2,2009,12.240000000000002,82.6,10.02,
108,Amravati,Industrial,2,2010,13.833333334,107.86666663999999,11.8,
109,Amravati,Industrial,2,2011,11.0,82.6,9.0,
110,Amravati,Industrial,2,2012,12.700000000000001,90.0,10.7,
111,Amravati,Industrial,2,2013,12.700000000000001,48.7,10.7,
112,Amravati,Industrial,2,2015,11.0,98.7,10.0,
113,Amravati,Industrial,3,2007,10.750000000000002,55.5,8.72,
114,Amravati,Industrial,3,2008,9.47,46.5,6.85,
115,Amravati,Industrial,3,2009,12.7,79.9,10.2,
116,Amravati,Industrial,3,2010,11.866666666,87.13333333,9.6,
117,Amravati,Industrial,3,2011,14.0,108.5,12.0,
118,Amravati,Industrial,3,2012,12.0,100.8,10.0,
119,Amravati,Industrial,3,2013,12.0,49.0,10.0,
120,Amravati,Industrial,3,2015,12.0,99.6,11.0,
121,Amravati,Industrial,4,2007,11.16,68.5,10.42,
122,Amravati,Industrial,4,2008,10.64,50.2,7.77,
123,Amravati,Industrial,4,2009,13.71,78.7,11.650000000000002,
124,Amravati,Industrial,4,2010,13.8,119.13333334000001,11.2,
125,Amravati,Industrial,4,2011,11.7,95.5,9.7,
126,Amravati,Industrial,4,2012,12.700000000000001,89.9,11.0,
127,Amravati,Industrial,4,2013,11.600000000000001,46.800000000000004,9.6,
128,Amravati,Industrial,4,2015,12.700000000000001,122.2,11.0,
129,Amravati,Industrial,5,2007,10.74,42.9,9.64,
130,Amravati,Industrial,5,2008,11.549999999999999,53.9,9.99,
131,Amravati,Industrial,5,2009,14.18,96.4,12.0,
132,Amravati,Industrial,5,2010,13.199999996999999,115.13333336300002,11.0,
133,Amravati,Industrial,5,2011,11.4,96.4,9.2,
134,Amravati,Industrial,5,2012,13.0,90.0,11.0,
135,Amravati,Industrial,6,2007,6.65,26.0,6.65,
136,Amravati,Industrial,6,2008,10.55,57.2,7.58,
137,Amravati,Industrial,6,2009,11.860000000000001,82.0,10.14,
138,Amravati,Industrial,6,2010,10.3,107.33333336000001,9.2,
139,Amravati,Industrial,6,2011,11.0,80.0,8.6,
140,Amravati,Industrial,6,2012,12.0,92.9,10.9,
141,Amravati,Industrial,6,2013,13.5,55.0,12.0,
142,Amravati,Industrial,6,2015,12.0,105.5,10.5,
143,Amravati,Industrial,7,2006,13.94,,11.809999999999999,
144,Amravati,Industrial,7,2007,8.39,45.7,7.56,
145,Amravati,Industrial,7,2008,11.159999999999998,51.800000000000004,8.02,
146,Amravati,Industrial,7,2009,10.42,78.6,8.76,
147,Amravati,Industrial,7,2010,11.233333331,103.93333332,9.0,
148,Amravati,Industrial,7,2011,10.8,90.19999999999999,8.8,
149,Amravati,Industrial,7,2012,12.0,81.39999999999999,10.0,
150,Amravati,Industrial,7,2013,12.700000000000001,48.4,11.0,
151,Amravati,Industrial,8,2006,16.23,,9.99,
152,Amravati,Industrial,8,2007,9.92,46.900000000000006,7.739999999999999,
153,Amravati,Industrial,8,2008,12.46,58.5,9.489999999999998,
154,Amravati,Industrial,8,2009,10.66,69.6,9.08,
155,Amravati,Industrial,8,2010,12.16666667,101.66666666500001,10.5,
156,Amravati,Industrial,8,2011,11.0,78.0,9.6,
157,Amravati,Industrial,8,2012,12.4,107.5,10.5,
158,Amravati,Industrial,8,2013,10.0,26.4,8.4,
159,Amravati,Industrial,8,2015,13.600000000000001,100.4,10.600000000000001,
160,Amravati,Industrial,9,2007,10.5,44.3,7.739999999999999,
161,Amravati,Industrial,9,2008,13.8,54.8,11.06,
162,Amravati,Industrial,9,2009,11.120000000000001,79.1,9.44,
163,Amravati,Industrial,9,2010,13.5,112.0,12.0,
164,Amravati,Industrial,9,2011,11.0,77.8,9.799999999999999,
165,Amravati,Industrial,9,2012,12.700000000000001,78.0,10.7,
166,Amravati,Industrial,9,2013,12.700000000000001,37.5,10.7,
167,Amravati,Industrial,9,2015,10.6,82.8,9.6,
168,Amravati,Industrial,10,2007,8.850000000000001,40.0,7.0,
169,Amravati,Industrial,10,2008,10.850000000000001,44.7,8.3,
170,Amravati,Industrial,10,2009,11.93,78.9,9.63,
171,Amravati,Industrial,10,2010,11.750000001,101.96666668900001,9.7,
172,Amravati,Industrial,10,2011,11.7,85.30000000000001,10.7,
173,Amravati,Industrial,10,2012,12.0,93.0,10.8,
174,Amravati,Industrial,10,2013,12.0,47.2,10.0,
175,Amravati,Industrial,10,2015,11.0,98.6,9.799999999999999,
176,Amravati,Industrial,11,2006,20.6,,12.1,
177,Amravati,Industrial,11,2007,11.36,55.7,8.559999999999999,
178,Amravati,Industrial,11,2008,11.2,57.0,9.0,
179,Amravati,Industrial,11,2009,11.850000000000001,66.9,9.75,
180,Amravati,Industrial,11,2010,14.250000003,122.93333333,12.100000000000001,
181,Amravati,Industrial,11,2011,11.0,90.4,10.0,
182,Amravati,Industrial,11,2012,12.0,93.2,10.0,
183,Amravati,Industrial,11,2013,12.6,40.400000000000006,10.600000000000001,
184,Amravati,Industrial,11,2015,11.0,98.10000000000001,10.0,
185,Amravati,Industrial,12,2006,11.4,,10.45,
186,Amravati,Industrial,12,2007,9.120000000000001,36.1,6.08,
187,Amravati,Industrial,12,2008,11.18,54.400000000000006,9.239999999999998,
188,Amravati,Industrial,12,2009,10.399999999999999,71.0,8.68,
189,Amravati,Industrial,12,2010,12.466666667,111.06666669700002,10.9,
190,Amravati,Industrial,12,2011,11.0,89.39999999999999,9.0,
191,Amravati,Industrial,12,2012,11.8,84.0,10.0,
192,Amravati,Industrial,12,2013,10.600000000000001,36.400000000000006,9.2,
193,Amravati,Industrial,12,2015,10.8,92.8,9.0,
194,Amravati,Residential,1,2006,15.0,,10.8,
195,Amravati,Residential,1,2007,9.5,34.0,8.5,
196,Amravati,Residential,1,2008,6.0,24.2,4.12,
197,Amravati,Residential,1,2009,10.5,48.5,8.5,
198,Amravati,Residential,1,2010,11.0,68.8,9.0,
199,Amravati,Residential,1,2011,11.0,65.5,9.5,
200,Amravati,Residential,1,2012,12.299999999999999,69.8,10.3,
201,Amravati,Residential,1,2013,11.0,71.0,9.0,
202,Amravati,Residential,1,2014,11.6,69.4,10.0,
203,Amravati,Residential,1,2015,11.0,64.6,8.8,
204,Amravati,Residential,2,2006,23.09,,13.620000000000001,
205,Amravati,Residential,2,2007,9.08,47.0,8.739999999999998,
206,Amravati,Residential,2,2008,7.98,37.0,5.0,
207,Amravati,Residential,2,2009,9.780000000000001,61.4,8.92,
208,Amravati,Residential,2,2010,12.299999999999999,69.6,9.3,
209,Amravati,Residential,2,2011,13.0,88.2,11.0,
210,Amravati,Residential,2,2012,11.1,63.2,9.100000000000001,
211,Amravati,Residential,2,2013,11.0,77.0,10.0,
212,Amravati,Residential,2,2014,11.0,57.8,9.2,
213,Amravati,Residential,2,2015,11.5,59.0,10.0,
214,Amravati,Residential,3,2006,17.23,,12.67,
215,Amravati,Residential,3,2007,8.260000000000002,33.2,6.36,
216,Amravati,Residential,3,2008,6.25,25.0,4.4,
217,Amravati,Residential,3,2009,11.0,64.0,9.05,
218,Amravati,Residential,3,2010,13.0,54.4,11.0,
219,Amravati,Residential,3,2011,11.8,75.6,9.0,
220,Amravati,Residential,3,2012,11.4,66.2,9.4,
221,Amravati,Residential,3,2013,11.0,80.5,10.0,
222,Amravati,Residential,3,2014,11.0,76.4,10.0,
223,Amravati,Residential,3,2015,11.6,68.4,10.0,
224,Amravati,Residential,4,2006,13.090000000000002,,8.059999999999999,
225,Amravati,Residential,4,2007,9.24,45.2,9.22,
226,Amravati,Residential,4,2008,8.3,35.0,6.85,
227,Amravati,Residential,4,2009,12.240000000000002,76.6,10.620000000000001,
228,Amravati,Residential,4,2010,11.4,69.7,8.7,
229,Amravati,Residential,4,2011,11.2,71.4,9.2,
230,Amravati,Residential,4,2012,13.0,88.6,11.0,
231,Amravati,Residential,4,2013,11.0,84.6,10.0,
232,Amravati,Residential,4,2014,11.3,74.2,10.3,
233,Amravati,Residential,4,2015,12.6,70.2,10.600000000000001,
234,Amravati,Residential,5,2006,9.5,,9.2,
235,Amravati,Residential,5,2007,10.0,51.599999999999994,8.48,
236,Amravati,Residential,5,2008,7.6,35.0,5.7,
237,Amravati,Residential,5,2009,9.99,58.800000000000004,7.85,
238,Amravati,Residential,5,2010,12.6,68.6,10.200000000000001,
239,Amravati,Residential,5,2011,12.0,75.4,10.0,
240,Amravati,Residential,5,2012,12.0,78.2,10.0,
241,Amravati,Residential,5,2014,12.6,88.6,10.600000000000001,
242,Amravati,Residential,6,2006,22.4,,9.4,
243,Amravati,Residential,6,2007,6.32,24.4,6.279999999999999,
244,Amravati,Residential,6,2008,6.85,28.0,5.95,
245,Amravati,Residential,6,2009,9.88,64.4,8.46,
246,Amravati,Residential,6,2010,12.100000000000001,69.4,9.4,
247,Amravati,Residential,6,2011,12.0,71.3,9.0,
248,Amravati,Residential,6,2012,11.6,74.60000000000001,10.0,
249,Amravati,Residential,6,2013,11.0,70.6,9.0,
250,Amravati,Residential,6,2014,11.6,71.6,10.0,
251,Amravati,Residential,6,2015,11.2,71.2,10.2,
252,Amravati,Residential,7,2007,8.0,49.2,7.65,
253,Amravati,Residential,7,2008,7.38,33.400000000000006,6.08,
254,Amravati,Residential,7,2009,10.34,57.2,8.82,
255,Amravati,Residential,7,2010,10.0,61.0,7.0,
256,Amravati,Residential,7,2011,10.600000000000001,59.599999999999994,9.0,
257,Amravati,Residential,7,2012,10.8,59.8,8.4,
258,Amravati,Residential,7,2013,10.100000000000001,61.699999999999996,8.0,
259,Amravati,Residential,7,2014,12.0,66.80000000000001,10.3,
260,Amravati,Residential,8,2007,7.660000000000001,36.3,7.200000000000001,
261,Amravati,Residential,8,2008,8.649999999999999,34.5,7.6,
262,Amravati,Residential,8,2009,9.5,68.6,7.9,
263,Amravati,Residential,8,2010,11.5,56.0,9.5,
264,Amravati,Residential,8,2011,11.4,58.4,9.4,
265,Amravati,Residential,8,2012,12.0,62.599000000000004,10.0,
266,Amravati,Residential,8,2013,10.100000000000001,62.5,9.0,
267,Amravati,Residential,8,2014,12.0,65.6,10.0,
268,Amravati,Residential,8,2015,10.200000000000001,61.2,9.0,
269,Amravati,Residential,9,2006,19.680000000000003,,12.180000000000001,
270,Amravati,Residential,9,2007,7.6,34.8,7.5,
271,Amravati,Residential,9,2008,10.2,31.0,7.279999999999999,
272,Amravati,Residential,9,2009,8.600000000000001,59.2,7.8,
273,Amravati,Residential,9,2010,11.6,56.8,9.6,
274,Amravati,Residential,9,2011,11.4,77.6,9.4,
275,Amravati,Residential,9,2012,12.0,72.8,9.4,
276,Amravati,Residential,9,2013,11.0,72.0,8.0,
277,Amravati,Residential,9,2014,11.0,65.0,9.0,
278,Amravati,Residential,9,2015,12.0,65.0,10.5,
279,Amravati,Residential,10,2006,14.420000000000002,,10.520000000000001,
280,Amravati,Residential,10,2007,8.01,33.7,6.289999999999999,
281,Amravati,Residential,10,2008,8.46,36.9,7.0600000000000005,
282,Amravati,Residential,10,2009,10.15,70.0,9.25,
283,Amravati,Residential,10,2010,12.0,66.5,9.7,
284,Amravati,Residential,10,2011,11.899999999999999,59.7,9.0,
285,Amravati,Residential,10,2012,12.0,63.8,9.0,
286,Amravati,Residential,10,2013,12.0,89.19999999999999,10.8,
287,Amravati,Residential,10,2014,11.7,64.4,10.0,
288,Amravati,Residential,10,2015,11.7,63.1,10.7,
289,Amravati,Residential,11,2006,13.54,,9.22,
290,Amravati,Residential,11,2007,9.08,36.6,7.38,
291,Amravati,Residential,11,2008,8.5,35.5,5.5,
292,Amravati,Residential,11,2009,11.84,65.4,9.32,
293,Amravati,Residential,11,2010,11.7,61.1,9.7,
294,Amravati,Residential,11,2011,11.0,62.4,9.0,
295,Amravati,Residential,11,2012,12.0,67.60000000000001,10.0,
296,Amravati,Residential,11,2013,11.4,68.0,9.4,
297,Amravati,Residential,11,2014,11.3,60.900000000000006,10.0,
298,Amravati,Residential,11,2015,12.0,62.6,10.0,
299,Amravati,Residential,12,2006,7.9,,8.7,
300,Amravati,Residential,12,2007,7.800000000000001,25.0,4.6,
301,Amravati,Residential,12,2008,9.94,39.0,6.7,
302,Amravati,Residential,12,2009,10.48,65.0,8.28,
303,Amravati,Residential,12,2010,12.299999999999999,66.5,10.3,
304,Amravati,Residential,12,2011,11.8,83.39999999999999,10.0,
305,Amravati,Residential,12,2012,12.0,77.0,10.0,
306,Amravati,Residential,12,2013,11.1,74.5,10.0,
307,Amravati,Residential,12,2014,10.600000000000001,73.3,9.3,
308,Amravati,Residential,12,2015,12.0,65.9,11.0,
309,Aurangabad,Residential,1,2006,15.96,39.2,3.88,115.80000000000001
310,Aurangabad,Residential,1,2007,15.8,44.4,4.35,213.5
311,Aurangabad,Residential,1,2008,14.68,58.2,4.68,198.4
312,Aurangabad,Residential,1,2009,22.2,55.1,5.12,184.1
313,Aurangabad,Residential,1,2010,18.344666664000002,47.183333334,5.164,132.94600002
314,Aurangabad,Residential,1,2011,28.7,73.60000000000001,7.0,
315,Aurangabad,Residential,1,2012,28.5,61.5,8.0,
316,Aurangabad,Residential,1,2013,36.800000000000004,75.30000000000001,8.6,
317,Aurangabad,Residential,1,2014,37.6,83.2,11.0,
318,Aurangabad,Residential,1,2015,45.900000000000006,85.39999999999999,16.7,
319,Aurangabad,Residential,2,2005,27.5,,14.8,
320,Aurangabad,Residential,2,2006,15.8,18.3,4.2,48.7
321,Aurangabad,Residential,2,2007,14.32,40.6,3.3200000000000003,193.39999999999998
322,Aurangabad,Residential,2,2008,14.04,43.800000000000004,5.64,173.8
323,Aurangabad,Residential,2,2009,22.65,57.5,5.300000000000001,195.0
324,Aurangabad,Residential,2,2010,21.442,56.140000001999994,5.0,126.47666670000001
325,Aurangabad,Residential,2,2011,24.0,51.5,7.0,
326,Aurangabad,Residential,2,2012,28.4,86.6,8.0,
327,Aurangabad,Residential,2,2013,34.8,74.4,9.2,
328,Aurangabad,Residential,2,2014,39.099999999999994,76.4,11.0,
329,Aurangabad,Residential,2,2015,44.099999999999994,82.30000000000001,14.1,
330,Aurangabad,Residential,3,2005,30.2,,10.3,
331,Aurangabad,Residential,3,2006,16.900000000000002,21.200000000000003,3.7,51.400000000000006
332,Aurangabad,Residential,3,2007,15.879999999999999,48.2,3.8,187.10000000000002
333,Aurangabad,Residential,3,2008,12.0,42.300000000000004,4.68,92.9
334,Aurangabad,Residential,3,2009,20.92,67.8,5.0,216.60000000000002
335,Aurangabad,Residential,3,2010,16.5065,59.672,5.572833333099999,133.83266669000002
336,Aurangabad,Residential,3,2011,23.799999999999997,48.2,7.0,
