,City_Town_Village_Area,Type_of_Location,month_number,year_number,NO2,RSPM_PM10,SO2,SPM
91,Akola,Residential,12,2011,10.3,137.3,8.0,
92,Akola,Residential,12,2012,12.0,172.07,11.0,
93,Akola,Residential,12,2013,8.0,152.43333332000003,7.300000000000001,
94,Akola,Residential,12,2014,10.3,154.7,8.6,
95,Akola,Residential,12,2015,9.0,145.39999999999998,8.4,
96,Amravati,Industrial,1,2006,12.4,,11.3,
97,Amravati,Industrial,1,2007,15.0,69.8,12.8,
98,Amravati,Industrial,1,2008,12.98,73.2,10.48,
99,Amravati,Industrial,1,2009,13.84,87.80000000000001,11.6,
100,Amravati,Industrial,1,2010,15.599999998000001,136.73333334,13.4,
101,Amravati,Industrial,1,2011,15.0,158.0,13.0,
102,Amravati,Industrial,1,2012,15.0,115.3,13.299999999999999,
103,Amravati,Industrial,1,2013,14.600000000000001,75.4,12.600000000000001,
104,Amravati,Industrial,1,2015,16.0,116.4,14.2,
105,Amravati,Industrial,2,2007,14.9,73.5,12.5,
106,Amravati,Industrial,2,2008,16.38,69.4,13.080000000000002,
107,Amravati,Industrial,2,2009,14.2,108.2,12.5,
108,Amravati,Industrial,2,2010,15.233333336,150.2,13.200000000000001,
109,Amravati,Industrial,2,2011,15.0,143.4,13.0,
110,Amravati,Industrial,2,2012,15.3,103.9,13.299999999999999,
111,Amravati,Industrial,2,2013,14.3,65.1,12.6,
112,Amravati,Industrial,2,2015,14.3,115.89999999999999,13.0,
113,Amravati,Industrial,3,2007,17.43,82.6,13.0,
114,Amravati,Industrial,3,2008,13.719999999999999,73.6,9.37,
115,Amravati,Industrial,3,2009,14.5,86.8,12.7,
116,Amravati,Industrial,3,2010,16.033333329999998,108.86666670000001,15.0,
117,Amravati,Industrial,3,2011,15.5,146.0,14.0,
118,Amravati,Industrial,3,2012,15.0,126.6,13.1,
119,Amravati,Industrial,3,2013,15.0,68.4,14.0,
120,Amravati,Industrial,3,2015,15.0,117.2,14.2,
121,Amravati,Industrial,4,2007,16.740000000000002,97.5,13.36,
122,Amravati,Industrial,4,2008,14.3,75.5,10.9,
123,Amravati,Industrial,4,2009,15.56,94.6,13.209999999999999,
124,Amravati,Industrial,4,2010,16.766666670000003,143.79999998,14.4,
125,Amravati,Industrial,4,2011,15.0,148.6,13.0,
126,Amravati,Industrial,4,2012,15.3,123.5,13.299999999999999,
127,Amravati,Industrial,4,2013,14.4,61.199999999999996,12.4,
128,Amravati,Industrial,4,2015,15.3,135.6,14.0,
129,Amravati,Industrial,5,2007,15.879999999999999,87.0,11.84,
130,Amravati,Industrial,5,2008,15.36,76.6,11.23,
131,Amravati,Industrial,5,2009,15.579999999999998,106.4,13.5,
132,Amravati,Industrial,5,2010,16.750000003,137.36666664,14.1,
133,Amravati,Industrial,5,2011,13.600000000000001,116.80000000000001,13.200000000000001,
134,Amravati,Industrial,5,2012,15.0,116.6,13.299999999999999,
135,Amravati,Industrial,6,2007,12.46,51.5,8.73,
136,Amravati,Industrial,6,2008,13.36,69.6,10.5,
137,Amravati,Industrial,6,2009,14.34,113.8,13.06,
138,Amravati,Industrial,6,2010,14.833333335999999,129.73333336000002,12.4,
139,Amravati,Industrial,6,2011,14.8,117.60000000000001,12.8,
140,Amravati,Industrial,6,2012,14.0,110.6,12.1,
141,Amravati,Industrial,6,2013,15.5,65.5,13.0,
142,Amravati,Industrial,6,2015,15.0,125.5,13.5,
143,Amravati,Industrial,7,2006,24.660000000000004,,14.290000000000001,
144,Amravati,Industrial,7,2007,13.54,68.69999999999999,9.73,
145,Amravati,Industrial,7,2008,14.46,79.6,10.899999999999999,
146,Amravati,Industrial,7,2009,13.3,91.4,11.399999999999999,
147,Amravati,Industrial,7,2010,14.6,127.5,12.3,
148,Amravati,Industrial,7,2011,16.0,121.20000000000002,13.200000000000001,
149,Amravati,Industrial,7,2012,15.0,103.2,14.0,
150,Amravati,Industrial,7,2013,15.600000000000001,71.8,13.599999999999998,
151,Amravati,Industrial,8,2006,22.07,,13.91,
152,Amravati,Industrial,8,2007,13.08,69.89999999999999,11.0,
153,Amravati,Industrial,8,2008,16.21,70.6,12.499999999999998,
154,Amravati,Industrial,8,2009,14.84,97.8,12.7,
155,Amravati,Industrial,8,2010,14.66666667,120.16666670000001,13.0,
156,Amravati,Industrial,8,2011,13.4,89.6,11.4,
157,Amravati,Industrial,8,2012,15.6,119.5,14.5,
158,Amravati,Industrial,8,2013,16.0,72.0,14.3,
159,Amravati,Industrial,8,2015,15.4,124.2,13.4,
160,Amravati,Industrial,9,2007,15.47,71.4,11.1,
161,Amravati,Industrial,9,2008,15.879999999999999,71.8,12.620000000000001,
162,Amravati,Industrial,9,2009,15.0,106.1,13.059999999999999,
163,Amravati,Industrial,9,2010,15.66666667,133.0,14.0,
164,Amravati,Industrial,9,2011,13.0,91.2,12.0,
165,Amravati,Industrial,9,2012,14.3,103.4,13.0,
166,Amravati,Industrial,9,2013,15.3,74.3,13.0,
167,Amravati,Industrial,9,2015,14.0,116.80000000000001,13.0,
168,Amravati,Industrial,10,2007,16.15,79.5,10.55,
169,Amravati,Industrial,10,2008,13.59,79.3,10.999999999999998,
170,Amravati,Industrial,10,2009,15.520000000000001,105.30000000000001,12.85,
171,Amravati,Industrial,10,2010,15.383333331,127.7666667,13.0,
172,Amravati,Industrial,10,2011,15.0,114.5,13.299999999999999,
173,Amravati,Industrial,10,2012,14.2,113.19999999999999,13.0,
174,Amravati,Industrial,10,2013,16.2,75.3,13.899999999999999,
175,Amravati,Industrial,10,2015,14.2,111.6,13.200000000000001,
176,Amravati,Industrial,11,2006,24.4,,14.0,
177,Amravati,Industrial,11,2007,14.1,76.69999999999999,11.0,
178,Amravati,Industrial,11,2008,13.8,79.0,12.2,
179,Amravati,Industrial,11,2009,16.21,109.2,13.94,
180,Amravati,Industrial,11,2010,14.916666667,130.39999996999998,12.9,
181,Amravati,Industrial,11,2011,13.0,122.5,12.0,
182,Amravati,Industrial,11,2012,14.600000000000001,112.2,12.600000000000001,
183,Amravati,Industrial,11,2013,17.4,76.80000000000001,14.4,
184,Amravati,Industrial,11,2015,14.0,112.9,13.0,
185,Amravati,Industrial,12,2006,16.4,,12.85,
186,Amravati,Industrial,12,2007,16.080000000000002,70.29999999999998,11.620000000000001,
187,Amravati,Industrial,12,2008,12.620000000000001,79.8,10.899999999999999,
188,Amravati,Industrial,12,2009,14.88,111.4,12.5,
189,Amravati,Industrial,12,2010,15.76666667,156.56666669999998,13.1,
190,Amravati,Industrial,12,2011,14.2,109.6,12.2,
191,Amravati,Industrial,12,2012,14.0,106.20000000000002,12.0,
192,Amravati,Industrial,12,2013,15.4,66.4,13.4,
193,Amravati,Industrial,12,2015,14.0,113.8,13.0,
194,Amravati,Residential,1,2006,15.0,,10.8,
195,Amravati,Residential,1,2007,17.65,90.6,12.45,
196,Amravati,Residential,1,2008,16.840000000000003,99.0,12.82,
197,Amravati,Residential,1,2009,15.25,114.5,13.35,
198,Amravati,Residential,1,2010,17.2,164.8,16.4,
199,Amravati,Residential,1,2011,16.0,145.0,13.5,
200,Amravati,Residential,1,2012,14.700000000000001,113.37,12.700000000000001,
201,Amravati,Residential,1,2013,15.0,125.0,13.4,
202,Amravati,Residential,1,2014,15.0,148.2,13.0,
