City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,year_number_diff,NO2_Median_YOY_diff,NO2_Median,Median_NO2_MOM_diff
Dombivli,Industrial,19980040,1998,4,1,9.2,31.1,-6.7
Dombivli,Industrial,19990040,1999,4,1,-12.8,18.3,-3.6
Dombivli,Industrial,20120040,2012,4,13,,67.5,-3.5
Dombivli,Industrial,20130040,2013,4,1,-10.5,57,-13
Dombivli,Industrial,20140040,2014,4,1,12,69,-13
Dombivli,Industrial,20150040,2015,4,1,-17.5,51.5,9.5
Dombivli,Industrial,19960050,1996,5,-19,,15.2,-4.4
Dombivli,Industrial,19970050,1997,5,1,14.5,29.7,7.8
Dombivli,Industrial,19980050,1998,5,1,3,32.7,1.6
Dombivli,Industrial,19990050,1999,5,1,-16.8,15.9,-2.4
Dombivli,Industrial,20120050,2012,5,13,,87,19.5
Dombivli,Industrial,20130050,2013,5,1,-39,48,-9
Dombivli,Industrial,20140050,2014,5,1,22.5,70.5,1.5
Dombivli,Industrial,20150050,2015,5,1,-14.5,56,4.5
Dombivli,Industrial,19950060,1995,6,-20,,15.5,
Dombivli,Industrial,19960060,1996,6,1,5.6,21.1,5.9
Dombivli,Industrial,19970060,1997,6,1,3.3,24.4,-5.3
Dombivli,Industrial,19980060,1998,6,1,29.8,54.2,21.5
Dombivli,Industrial,19990060,1999,6,1,-31.8,22.4,6.5
Dombivli,Industrial,20000060,2000,6,1,-2.4,20,
Dombivli,Industrial,20120060,2012,6,12,,79,-8
Dombivli,Industrial,20130060,2013,6,1,-30.5,48.5,0.5
Dombivli,Industrial,20140060,2014,6,1,28,76.5,6
Dombivli,Industrial,20150060,2015,6,1,-29,47.5,-8.5
Dombivli,Industrial,19950070,1995,7,-20,,16.2,0.7
Dombivli,Industrial,19960070,1996,7,1,-0.2,16,-5.1
Dombivli,Industrial,19970070,1997,7,1,13.9,29.9,5.5
Dombivli,Industrial,19990070,1999,7,2,,19.9,-2.5
Dombivli,Industrial,20120070,2012,7,13,,82,3
Dombivli,Industrial,20130070,2013,7,1,-45.5,36.5,-12
Dombivli,Industrial,20140070,2014,7,1,57.5,94,17.5
Dombivli,Industrial,20150070,2015,7,1,-40,54,6.5
Dombivli,Industrial,19950080,1995,8,-20,,21.1,4.9
Dombivli,Industrial,19960080,1996,8,1,6.9,28,12
Dombivli,Industrial,19970080,1997,8,1,-1.4,26.6,-3.3
Dombivli,Industrial,19990080,1999,8,2,,44,24.1
Dombivli,Industrial,20000080,2000,8,1,-4.2,39.8,
Dombivli,Industrial,20120080,2012,8,12,,90,8
Dombivli,Industrial,20130080,2013,8,1,-51,39,2.5
Dombivli,Industrial,20140080,2014,8,1,28.5,67.5,-26.5
Dombivli,Industrial,20150080,2015,8,1,-21.5,46,-8
Dombivli,Industrial,19950090,1995,9,-20,,42.9,21.8
Dombivli,Industrial,19960090,1996,9,1,-6.4,36.5,8.5
Dombivli,Industrial,19970090,1997,9,1,1.3,37.8,11.2
Dombivli,Industrial,19990090,1999,9,2,,31,-13
Dombivli,Industrial,20000090,2000,9,1,4,35,-4.8
Dombivli,Industrial,20120090,2012,9,12,,90.5,0.5
Dombivli,Industrial,20130090,2013,9,1,-60.5,30,-9
Dombivli,Industrial,20140090,2014,9,1,6,36,-31.5
Dombivli,Industrial,20150090,2015,9,1,16,52,6
Dombivli,Industrial,19950100,1995,10,-20,,54,11.1
Dombivli,Industrial,19960100,1996,10,1,0.9,54.9,18.4
Dombivli,Industrial,19970100,1997,10,1,-30.1,24.8,-13
Dombivli,Industrial,19990100,1999,10,2,,26.9,-4.1
Dombivli,Industrial,20120100,2012,10,13,,77,-13.5
Dombivli,Industrial,20130100,2013,10,1,-32.5,44.5,14.5
Dombivli,Industrial,20140100,2014,10,1,-6.5,38,2
Dombivli,Industrial,20150100,2015,10,1,22,60,8
Dombivli,Industrial,19950110,1995,11,-20,,43.1,-10.9
Dombivli,Industrial,19960110,1996,11,1,-1.9,41.2,-13.7
Dombivli,Industrial,19970110,1997,11,1,-16.5,24.7,-0.1
Dombivli,Industrial,19990110,1999,11,2,,28.1,1.2
Dombivli,Industrial,20120110,2012,11,13,,94,17
Dombivli,Industrial,20130110,2013,11,1,-40,54,9.5
Dombivli,Industrial,20140110,2014,11,1,-13,41,3
Dombivli,Industrial,20150110,2015,11,1,18,59,-1
Dombivli,Industrial,19950120,1995,12,-20,,35.2,-7.9
Dombivli,Industrial,19960120,1996,12,1,-8.6,26.6,-14.6
Dombivli,Industrial,19970120,1997,12,1,2.2,28.8,4.1
Dombivli,Industrial,20120120,2012,12,15,,76.5,-17.5
Dombivli,Industrial,20130120,2013,12,1,-9.5,67,13
Dombivli,Industrial,20140120,2014,12,1,-27,40,-1
Dombivli,Industrial,20150120,2015,12,1,43,83,24
Dombivli,Unknown,19950010,1995,1,,,,
Dombivli,Unknown,19960010,1996,1,1,,30.6,-6.1
Dombivli,Unknown,19970010,1997,1,1,-17.6,13,-4.7
Dombivli,Unknown,19980010,1998,1,1,11.9,24.9,1.4
Dombivli,Unknown,20000010,2000,1,2,,71.7,18.3
Dombivli,Unknown,19960020,1996,2,-4,,28.9,-1.7
Dombivli,Unknown,19970020,1997,2,1,-8.3,20.6,7.6
Dombivli,Unknown,19980020,1998,2,1,3,23.6,-1.3
Dombivli,Unknown,20000020,2000,2,2,,94,22.3
Dombivli,Unknown,19960030,1996,3,-4,,20.6,-8.3
Dombivli,Unknown,19970030,1997,3,1,5,25.6,5
Dombivli,Unknown,19980030,1998,3,1,1,26.6,3
Dombivli,Unknown,19990030,1999,3,1,0.6,27.2,
Dombivli,Unknown,20000030,2000,3,1,48.8,76,-18
Dombivli,Unknown,19960040,1996,4,-4,,20.8,0.2
Dombivli,Unknown,19970040,1997,4,1,2.3,23.1,-2.5
Dombivli,Unknown,19980040,1998,4,1,3,26.1,-0.5
Dombivli,Unknown,19990040,1999,4,1,-3.7,22.4,-4.8
Dombivli,Unknown,19960050,1996,5,-3,,17.4,-3.4
Dombivli,Unknown,19970050,1997,5,1,8.7,26.1,3
Dombivli,Unknown,19980050,1998,5,1,-5.5,20.6,-5.5
Dombivli,Unknown,19990050,1999,5,1,-2.1,18.5,-3.9
Dombivli,Unknown,19950060,1995,6,-4,,55.3,
Dombivli,Unknown,19960060,1996,6,1,-33.9,21.4,4
Dombivli,Unknown,19970060,1997,6,1,2.2,23.6,-2.5
Dombivli,Unknown,19990060,1999,6,2,,24.8,6.3
Dombivli,Unknown,20000060,2000,6,1,-3,21.8,
Dombivli,Unknown,19950070,1995,7,-5,,37,-18.3
Dombivli,Unknown,19960070,1996,7,1,-23.2,13.8,-7.6
Dombivli,Unknown,19970070,1997,7,1,13,26.8,3.2
Dombivli,Unknown,19990070,1999,7,2,,22.2,-2.6
Dombivli,Unknown,20000070,2000,7,1,5.6,27.8,6
Dombivli,Unknown,19950080,1995,8,-5,,18.1,-18.9
Dombivli,Unknown,19960080,1996,8,1,0,18.1,4.3
Dombivli,Unknown,19970080,1997,8,1,2.9,21,-5.8
Dombivli,Unknown,19990080,1999,8,2,,47.5,25.3
Dombivli,Unknown,20000080,2000,8,1,-6.3,41.2,13.4
Dombivli,Unknown,19950090,1995,9,-5,,46,27.9
Dombivli,Unknown,19960090,1996,9,1,-11.5,34.5,16.4
Dombivli,Unknown,19970090,1997,9,1,-18.3,16.2,-4.8
Dombivli,Unknown,19990090,1999,9,2,,33.3,-14.2
Dombivli,Unknown,20000090,2000,9,1,-1,32.3,-8.9
Dombivli,Unknown,19950100,1995,10,-5,,66.4,20.4
Dombivli,Unknown,19960100,1996,10,1,-43.3,23.1,-11.4
Dombivli,Unknown,19970100,1997,10,1,-5.7,17.4,1.2
Dombivli,Unknown,19990100,1999,10,2,,30,-3.3
Dombivli,Unknown,19950110,1995,11,-4,,39.6,-26.8
Dombivli,Unknown,19960110,1996,11,1,-18.1,21.5,-1.6
Dombivli,Unknown,19970110,1997,11,1,-7.4,14.1,-3.3
Dombivli,Unknown,19980110,1998,11,1,56.1,70.2,
Dombivli,Unknown,19990110,1999,11,1,-44.1,26.1,-3.9
Dombivli,Unknown,19940120,1994,12,-5,,21,
Dombivli,Unknown,19950120,1995,12,1,15.7,36.7,-2.9
Dombivli,Unknown,19960120,1996,12,1,-19,17.7,-3.8
Dombivli,Unknown,19970120,1997,12,1,5.8,23.5,9.4
Dombivli,Unknown,19980120,1998,12,1,34.1,57.6,-12.6
Dombivli,Unknown,19990120,1999,12,1,-4.2,53.4,27.3
Greater Mumbai,Industrial,20050010,2005,1,,,30.9,
Greater Mumbai,Industrial,20060010,2006,1,1,16.15,47.05,-31.35
Greater Mumbai,Industrial,20070010,2007,1,1,-11.75,35.3,-2.7
Greater Mumbai,Industrial,20080010,2008,1,1,16.45,51.75,1.9
Greater Mumbai,Industrial,20050020,2005,2,-3,,39.35,8.45
Greater Mumbai,Industrial,20060020,2006,2,1,27.15,66.5,19.45
Greater Mumbai,Industrial,20070020,2007,2,1,-35.2,31.3,-4
Greater Mumbai,Industrial,20080020,2008,2,1,34.5,65.8,14.05
Greater Mumbai,Industrial,20050030,2005,3,-3,,34.9,-4.45
Greater Mumbai,Industrial,20060030,2006,3,1,6.1,41,-25.5
Greater Mumbai,Industrial,20070030,2007,3,1,-10.2,30.8,-0.5
Greater Mumbai,Industrial,20080030,2008,3,1,24.7,55.5,-10.3
Greater Mumbai,Industrial,20050040,2005,4,-3,,31,-3.9
Greater Mumbai,Industrial,20060040,2006,4,1,12,43,2
Greater Mumbai,Industrial,20070040,2007,4,1,-13.55,29.45,-1.35
Greater Mumbai,Industrial,20080040,2008,4,1,18.75,48.2,-7.3
Greater Mumbai,Industrial,20050050,2005,5,-3,,33.2,2.2
Greater Mumbai,Industrial,20060050,2006,5,1,6.6,39.8,-3.2
Greater Mumbai,Industrial,20070050,2007,5,1,-12.6,27.2,-2.25
Greater Mumbai,Industrial,20080050,2008,5,1,35.6,62.8,14.6
Greater Mumbai,Industrial,20050060,2005,6,-3,,23.6,-9.6
Greater Mumbai,Industrial,20060060,2006,6,1,18.4,42,2.2
Greater Mumbai,Industrial,20070060,2007,6,1,-9.15,32.85,5.65
Greater Mumbai,Industrial,20080060,2008,6,1,16.45,49.3,-13.5
Greater Mumbai,Industrial,20050070,2005,7,-3,,32.75,9.15
Greater Mumbai,Industrial,20060070,2006,7,1,7.05,39.8,-2.2
Greater Mumbai,Industrial,20070070,2007,7,1,-9.6,30.2,-2.65
Greater Mumbai,Industrial,20080070,2008,7,1,20.3,50.5,1.2
Greater Mumbai,Industrial,20050080,2005,8,-3,,31.5,-1.25
Greater Mumbai,Industrial,20060080,2006,8,1,9.8,41.3,1.5
Greater Mumbai,Industrial,20070080,2007,8,1,-10.8,30.5,0.3
Greater Mumbai,Industrial,20080080,2008,8,1,15,45.5,-5
Greater Mumbai,Industrial,20050090,2005,9,-3,,27.7,-3.8
Greater Mumbai,Industrial,20060090,2006,9,1,19.6,47.3,6
Greater Mumbai,Industrial,20070090,2007,9,1,-14,33.3,2.8
Greater Mumbai,Industrial,20080090,2008,9,1,18.9,52.2,6.7
Greater Mumbai,Industrial,20050100,2005,10,-3,,48.2,20.5
Greater Mumbai,Industrial,20060100,2006,10,1,-18,30.2,-17.1
Greater Mumbai,Industrial,20070100,2007,10,1,7,37.2,3.9
Greater Mumbai,Industrial,20080100,2008,10,1,20.3,57.5,5.3
Greater Mumbai,Industrial,20050110,2005,11,-3,,48.85,0.65
Greater Mumbai,Industrial,20060110,2006,11,1,-18.15,30.7,0.5
Greater Mumbai,Industrial,20070110,2007,11,1,10.65,41.35,4.15
Greater Mumbai,Industrial,20080110,2008,11,1,22.9,64.25,6.75
Greater Mumbai,Industrial,20050120,2005,12,-3,,78.4,29.55
Greater Mumbai,Industrial,20060120,2006,12,1,-40.4,38,7.3
Greater Mumbai,Industrial,20070120,2007,12,1,11.85,49.85,8.5
Greater Mumbai,Industrial,20080120,2008,12,1,18.4,68.25,4
Greater Mumbai,Residential,20060070,2006,7,,,33.5,
Greater Mumbai,Residential,20060110,2006,11,0,,31.2,
Jalgaon,Industrial,20110010,2011,1,,,53,
Jalgaon,Industrial,20120010,2012,1,1,33,86,34
Jalgaon,Industrial,20130010,2013,1,1,-30.5,55.5,1.5
Jalgaon,Industrial,20140010,2014,1,1,-10.5,45,0
Jalgaon,Industrial,20150010,2015,1,1,4,49,1
Jalgaon,Industrial,20110020,2011,2,-4,,52,-1
Jalgaon,Industrial,20120020,2012,2,1,5.5,57.5,-28.5
Jalgaon,Industrial,20130020,2013,2,1,1,58.5,3
Jalgaon,Industrial,20140020,2014,2,1,-12.5,46,1
Jalgaon,Industrial,20150020,2015,2,1,4.5,50.5,1.5
Jalgaon,Industrial,20110030,2011,3,-4,,52,0
Jalgaon,Industrial,20120030,2012,3,1,3,55,-2.5
Jalgaon,Industrial,20130030,2013,3,1,1,56,-2.5
Jalgaon,Industrial,20140030,2014,3,1,-6,50,4
Jalgaon,Industrial,20150030,2015,3,1,0,50,-0.5
Jalgaon,Industrial,20110040,2011,4,-4,,49,-3
Jalgaon,Industrial,20120040,2012,4,1,8,57,2
Jalgaon,Industrial,20130040,2013,4,1,-3.5,53.5,-2.5
Jalgaon,Industrial,20140040,2014,4,1,0,53.5,3.5
Jalgaon,Industrial,20150040,2015,4,1,-3.5,50,0
Jalgaon,Industrial,20110050,2011,5,-4,,49,0
Jalgaon,Industrial,20120050,2012,5,1,7,56,-1
Jalgaon,Industrial,20130050,2013,5,1,-5.5,50.5,-3
Jalgaon,Industrial,20140050,2014,5,1,0,50.5,-3
Jalgaon,Industrial,20150050,2015,5,1,0.5,51,1
Jalgaon,Industrial,20110060,2011,6,-4,,49,0
Jalgaon,Industrial,20120060,2012,6,1,4.5,53.5,-2.5
Jalgaon,Industrial,20130060,2013,6,1,-6.5,47,-3.5
Jalgaon,Industrial,20140060,2014,6,1,-1,46,-4.5
Jalgaon,Industrial,20150060,2015,6,1,-6,40,-11
Jalgaon,Industrial,20110070,2011,7,-4,,44.5,-4.5
Jalgaon,Industrial,20120070,2012,7,1,40.5,85,31.5
Jalgaon,Industrial,20130070,2013,7,1,-48.5,36.5,-10.5
Jalgaon,Industrial,20140070,2014,7,1,3.5,40,-6
Jalgaon,Industrial,20150070,2015,7,1,-3,37,-3
Jalgaon,Industrial,20110080,2011,8,-4,,43.5,-1
Jalgaon,Industrial,20120080,2012,8,1,15.5,59,-26
Jalgaon,Industrial,20130080,2013,8,1,-23,36,-0.5
Jalgaon,Industrial,20140080,2014,8,1,8,44,4
Jalgaon,Industrial,20150080,2015,8,1,-6,38,1
Jalgaon,Industrial,20110090,2011,9,-4,,36,-7.5
Jalgaon,Industrial,20120090,2012,9,1,16.5,52.5,-6.5
Jalgaon,Industrial,20130090,2013,9,1,-14,38.5,2.5
Jalgaon,Industrial,20140090,2014,9,1,6.5,45,1
Jalgaon,Industrial,20150090,2015,9,1,-6.5,38.5,0.5
Jalgaon,Industrial,20110100,2011,10,-4,,50,14
Jalgaon,Industrial,20120100,2012,10,1,8,58,5.5
Jalgaon,Industrial,20130100,2013,10,1,-14.5,43.5,5
Jalgaon,Industrial,20140100,2014,10,1,4.5,48,3
Jalgaon,Industrial,20150100,2015,10,1,-7,41,2.5
Jalgaon,Industrial,20110110,2011,11,-4,,52,2
Jalgaon,Industrial,20120110,2012,11,1,2.5,54.5,-3.5
Jalgaon,Industrial,20130110,2013,11,1,-11,43.5,0
Jalgaon,Industrial,20140110,2014,11,1,7,50.5,2.5
Jalgaon,Industrial,20150110,2015,11,1,-13.5,37,-4
Jalgaon,Industrial,20110120,2011,12,-4,,52,0
Jalgaon,Industrial,20120120,2012,12,1,2,54,-0.5
Jalgaon,Industrial,20130120,2013,12,1,-9,45,1.5
Jalgaon,Industrial,20140120,2014,12,1,3,48,-2.5
Jalgaon,Industrial,20150120,2015,12,1,-9.5,38.5,1.5
Jalgaon,Residential,20100010,2010,1,,,47.5,
Jalgaon,Residential,20110010,2011,1,1,-4,43.5,0
Jalgaon,Residential,20120010,2012,1,1,0.5,44,2
Jalgaon,Residential,20130010,2013,1,1,2,46,3
Jalgaon,Residential,20140010,2014,1,1,-6.5,39.5,1.5
Jalgaon,Residential,20150010,2015,1,1,1.5,41,0
Jalgaon,Residential,20100020,2010,2,-5,,47.5,0
Jalgaon,Residential,20110020,2011,2,1,-5.5,42,-1.5
Jalgaon,Residential,20120020,2012,2,1,7,49,5
Jalgaon,Residential,20130020,2013,2,1,-1.5,47.5,1.5
Jalgaon,Residential,20140020,2014,2,1,-6.5,41,1.5
Jalgaon,Residential,20150020,2015,2,1,3,44,3
Jalgaon,Residential,20100030,2010,3,-5,,39,-8.5
Jalgaon,Residential,20110030,2011,3,1,5,44,2
Jalgaon,Residential,20120030,2012,3,1,0,44,-5
Jalgaon,Residential,20130030,2013,3,1,4,48,0.5
Jalgaon,Residential,20140030,2014,3,1,-3.5,44.5,3.5
Jalgaon,Residential,20150030,2015,3,1,2,46.5,2.5
Jalgaon,Residential,20100040,2010,4,-5,,40,1
Jalgaon,Residential,20110040,2011,4,1,1.5,41.5,-2.5
Jalgaon,Residential,20120040,2012,4,1,3.5,45,1
Jalgaon,Residential,20130040,2013,4,1,5,50,2
Jalgaon,Residential,20140040,2014,4,1,-4.5,45.5,1
Jalgaon,Residential,20150040,2015,4,1,-2.5,43,-3.5
Jalgaon,Residential,20100050,2010,5,-5,,44,4
Jalgaon,Residential,20110050,2011,5,1,-4,40,-1.5
Jalgaon,Residential,20120050,2012,5,1,5,45,0
Jalgaon,Residential,20130050,2013,5,1,0,45,-5
Jalgaon,Residential,20140050,2014,5,1,2,47,1.5
Jalgaon,Residential,20150050,2015,5,1,-4.5,42.5,-0.5
Jalgaon,Residential,20100060,2010,6,-5,,42,-2
Jalgaon,Residential,20110060,2011,6,1,-1,41,1
Jalgaon,Residential,20120060,2012,6,1,1,42,-3
Jalgaon,Residential,20130060,2013,6,1,-9,33,-12
Jalgaon,Residential,20140060,2014,6,1,8,41,-6
Jalgaon,Residential,20150060,2015,6,1,-8.5,32.5,-10
Jalgaon,Residential,20100070,2010,7,-5,,41,-1
Jalgaon,Residential,20110070,2011,7,1,-8,33,-8
Jalgaon,Residential,20120070,2012,7,1,0,33,-9
Jalgaon,Residential,20130070,2013,7,1,-2.5,30.5,-2.5
Jalgaon,Residential,20140070,2014,7,1,6.5,37,-4
Jalgaon,Residential,20150070,2015,7,1,-4,33,0.5
Jalgaon,Residential,20100080,2010,8,-5,,41,0
Jalgaon,Residential,20110080,2011,8,1,-8,33,0
Jalgaon,Residential,20120080,2012,8,1,1,34,1
Jalgaon,Residential,20130080,2013,8,1,-1,33,2.5
Jalgaon,Residential,20140080,2014,8,1,0,33,-4
Jalgaon,Residential,20150080,2015,8,1,-0.5,32.5,-0.5
Jalgaon,Residential,20100090,2010,9,-5,,42.5,1.5
Jalgaon,Residential,20110090,2011,9,1,-6.5,36,3
Jalgaon,Residential,20120090,2012,9,1,1,37,3
Jalgaon,Residential,20130090,2013,9,1,-2.5,34.5,1.5
Jalgaon,Residential,20140090,2014,9,1,2.5,37,4
Jalgaon,Residential,20150090,2015,9,1,-4,33,0.5
Jalgaon,Residential,20100100,2010,10,-5,,41,-1.5
Jalgaon,Residential,20110100,2011,10,1,-2,39,3
Jalgaon,Residential,20120100,2012,10,1,-1,38,1
Jalgaon,Residential,20130100,2013,10,1,-3,35,0.5
Jalgaon,Residential,20140100,2014,10,1,4,39,2
Jalgaon,Residential,20150100,2015,10,1,-6,33,0
Jalgaon,Residential,20100110,2010,11,-5,,42,1
Jalgaon,Residential,20110110,2011,11,1,1.5,43.5,4.5
Jalgaon,Residential,20120110,2012,11,1,-1.5,42,4
Jalgaon,Residential,20130110,2013,11,1,-6,36,1
Jalgaon,Residential,20140110,2014,11,1,4.5,40.5,1.5
Jalgaon,Residential,20150110,2015,11,1,-7.5,33,0
Jalgaon,Residential,20100120,2010,12,-5,,43.5,1.5
Jalgaon,Residential,20110120,2011,12,1,-1.5,42,-1.5
Jalgaon,Residential,20120120,2012,12,1,1,43,1
Jalgaon,Residential,20130120,2013,12,1,-5,38,2
Jalgaon,Residential,20140120,2014,12,1,3,41,0.5
Jalgaon,Residential,20150120,2015,12,1,-8,33,0
Jalna,Industrial,20110010,2011,1,,,24.5,
Jalna,Industrial,20120010,2012,1,1,5,29.5,0.5
Jalna,Industrial,20130010,2013,1,1,3.5,33,1
Jalna,Industrial,20140010,2014,1,1,-1,32,0
Jalna,Industrial,20110020,2011,2,-3,,28,3.5
Jalna,Industrial,20120020,2012,2,1,-0.5,27.5,-2
Jalna,Industrial,20130020,2013,2,1,4.5,32,-1
Jalna,Industrial,20140020,2014,2,1,0,32,0
Jalna,Industrial,20150020,2015,2,1,1.5,33.5,
Jalna,Industrial,20110030,2011,3,-4,,25.5,-2.5
Jalna,Industrial,20120030,2012,3,1,0.5,26,-1.5
Jalna,Industrial,20130030,2013,3,1,7,33,1
Jalna,Industrial,20140030,2014,3,1,-2,31,-1
Jalna,Industrial,20150030,2015,3,1,1,32,-1.5
Jalna,Industrial,20110040,2011,4,-4,,25,-0.5
Jalna,Industrial,20120040,2012,4,1,2,27,1
Jalna,Industrial,20130040,2013,4,1,5,32,-1
Jalna,Industrial,20140040,2014,4,1,-1.5,30.5,-0.5
Jalna,Industrial,20150040,2015,4,1,-0.5,30,-2
Jalna,Industrial,20110050,2011,5,-4,,24.5,-0.5
Jalna,Industrial,20120050,2012,5,1,-0.5,24,-3
Jalna,Industrial,20130050,2013,5,1,7,31,-1
Jalna,Industrial,20140050,2014,5,1,0,31,0.5
Jalna,Industrial,20150050,2015,5,1,0,31,1
Jalna,Industrial,20110060,2011,6,-4,,22,-2.5
Jalna,Industrial,20120060,2012,6,1,8,30,6
Jalna,Industrial,20130060,2013,6,1,1,31,0
Jalna,Industrial,20140060,2014,6,1,0,31,0
Jalna,Industrial,20110070,2011,7,-3,,22,0
Jalna,Industrial,20120070,2012,7,1,11,33,3
Jalna,Industrial,20130070,2013,7,1,-4,29,-2
Jalna,Industrial,20140070,2014,7,1,2.5,31.5,0.5
Jalna,Industrial,20150070,2015,7,1,-3.5,28,
Jalna,Industrial,20110080,2011,8,-4,,23.5,1.5
Jalna,Industrial,20120080,2012,8,1,5.5,29,-4
Jalna,Industrial,20130080,2013,8,1,3,32,3
Jalna,Industrial,20140080,2014,8,1,-3,29,-2.5
Jalna,Industrial,20150080,2015,8,1,-1,28,0
Jalna,Industrial,20110090,2011,9,-4,,25,1.5
Jalna,Industrial,20120090,2012,9,1,6.5,31.5,2.5
Jalna,Industrial,20130090,2013,9,1,0,31.5,-0.5
Jalna,Industrial,20140090,2014,9,1,-4,27.5,-1.5
Jalna,Industrial,20150090,2015,9,1,1.5,29,1
Jalna,Industrial,20110100,2011,10,-4,,28,3
Jalna,Industrial,20120100,2012,10,1,7,35,3.5
Jalna,Industrial,20130100,2013,10,1,-5,30,-1.5
Jalna,Industrial,20140100,2014,10,1,-1,29,1.5
Jalna,Industrial,20150100,2015,10,1,2.5,31.5,2.5
Jalna,Industrial,20110110,2011,11,-4,,29,1
Jalna,Industrial,20120110,2012,11,1,3.5,32.5,-2.5
Jalna,Industrial,20130110,2013,11,1,-0.5,32,2
Jalna,Industrial,20140110,2014,11,1,-1,31,2
Jalna,Industrial,20150110,2015,11,1,1,32,0.5
Jalna,Industrial,20110120,2011,12,-4,,29,0
Jalna,Industrial,20120120,2012,12,1,3,32,-0.5
Jalna,Industrial,20130120,2013,12,1,0,32,0
Jalna,Industrial,20140120,2014,12,1,-0.5,31.5,0.5
Jalna,Industrial,20150120,2015,12,1,0.5,32,0
Jalna,Residential,20110010,2011,1,,,21.5,
Jalna,Residential,20120010,2012,1,1,7.5,29,2
Jalna,Residential,20130010,2013,1,1,2.5,31.5,0
Jalna,Residential,20140010,2014,1,1,-1.5,30,-1
Jalna,Residential,20110020,2011,2,-3,,23,1.5
Jalna,Residential,20120020,2012,2,1,3,26,-3
Jalna,Residential,20130020,2013,2,1,6,32,0.5
Jalna,Residential,20140020,2014,2,1,-1,31,1
Jalna,Residential,20150020,2015,2,1,4,35,
Jalna,Residential,20110030,2011,3,-4,,27.5,4.5
Jalna,Residential,20120030,2012,3,1,-1.5,26,0
Jalna,Residential,20130030,2013,3,1,6,32,0
Jalna,Residential,20140030,2014,3,1,-1,31,0
Jalna,Residential,20150030,2015,3,1,5,36,1
Jalna,Residential,20110040,2011,4,-4,,24,-3.5
Jalna,Residential,20120040,2012,4,1,1,25,-1
Jalna,Residential,20130040,2013,4,1,5,30,-2
Jalna,Residential,20140040,2014,4,1,-4,26,-5
Jalna,Residential,20150040,2015,4,1,6,32,-4
Jalna,Residential,20110050,2011,5,-4,,21,-3
Jalna,Residential,20120050,2012,5,1,10,31,6
Jalna,Residential,20130050,2013,5,1,-1,30,0
Jalna,Residential,20140050,2014,5,1,0,30,4
Jalna,Residential,20150050,2015,5,1,1,31,-1
Jalna,Residential,20110060,2011,6,-4,,28,7
Jalna,Residential,20120060,2012,6,1,0,28,-3
Jalna,Residential,20130060,2013,6,1,1,29,-1
Jalna,Residential,20140060,2014,6,1,1,30,0
Jalna,Residential,20150060,2015,6,1,-2,28,-3
Jalna,Residential,20110070,2011,7,-4,,20,-8
Jalna,Residential,20120070,2012,7,1,8.5,28.5,0.5
Jalna,Residential,20130070,2013,7,1,2,30.5,1.5
Jalna,Residential,20140070,2014,7,1,-2,28.5,-1.5
Jalna,Residential,20150070,2015,7,1,-1,27.5,-0.5
Jalna,Residential,20110080,2011,8,-4,,21.5,1.5
Jalna,Residential,20120080,2012,8,1,7.5,29,0.5
Jalna,Residential,20130080,2013,8,1,1,30,-0.5
Jalna,Residential,20140080,2014,8,1,-3,27,-1.5
Jalna,Residential,20110090,2011,9,-3,,23,1.5
Jalna,Residential,20120090,2012,9,1,8,31,2
Jalna,Residential,20130090,2013,9,1,0,31,1
Jalna,Residential,20140090,2014,9,1,-5,26,-1
Jalna,Residential,20150090,2015,9,1,2,28,
Jalna,Residential,20110100,2011,10,-4,,26.5,3.5
Jalna,Residential,20120100,2012,10,1,5.5,32,1
Jalna,Residential,20130100,2013,10,1,-3,29,-2
Jalna,Residential,20140100,2014,10,1,1,30,4
Jalna,Residential,20150100,2015,10,1,0,30,2
Jalna,Residential,20110110,2011,11,-4,,26,-0.5
Jalna,Residential,20120110,2012,11,1,5.5,31.5,-0.5
Jalna,Residential,20130110,2013,11,1,-1.5,30,1
Jalna,Residential,20140110,2014,11,1,-1,29,-1
Jalna,Residential,20150110,2015,11,1,3,32,2
Jalna,Residential,20110120,2011,12,-4,,27,1
Jalna,Residential,20120120,2012,12,1,4.5,31.5,0
Jalna,Residential,20130120,2013,12,1,-0.5,31,1
Jalna,Residential,20140120,2014,12,1,-1,30,1
Jalna,Residential,20150120,2015,12,1,-3,27,-5
Kolhapur,Residential,20050010,2005,1,,,13.5,
Kolhapur,Residential,20060010,2006,1,1,18.15,31.65,-1.95
Kolhapur,Residential,20070010,2007,1,1,-12.9,18.75,-1.15
Kolhapur,Residential,20080010,2008,1,1,1,19.75,10.95
Kolhapur,Residential,20090010,2009,1,1,-6.25,13.5,-5.1
Kolhapur,Residential,20100010,2010,1,1,1.5,15,3.05
Kolhapur,Residential,20110010,2011,1,1,8.5,23.5,0.5
Kolhapur,Residential,20120010,2012,1,1,10.5,34,8
Kolhapur,Residential,20130010,2013,1,1,12.5,46.5,11.5
Kolhapur,Residential,20140010,2014,1,1,1.5,48,5
Kolhapur,Residential,20150010,2015,1,1,9,57,8.5
Kolhapur,Residential,20050020,2005,2,-10,,43.7,30.2
Kolhapur,Residential,20060020,2006,2,1,-24.9,18.8,-12.85
