City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,year_number_diff,NO2_Median_YOY_diff,NO2_Median,Median_NO2_MOM_diff
Amravati,Industrial,20100010,2010,1,1,2,14.5,1.8
Amravati,Industrial,20110010,2011,1,1,0.5,15,0.333333335
Amravati,Industrial,20120010,2012,1,1,-2,13,1
Amravati,Industrial,20130010,2013,1,1,0,13,0
Amravati,Industrial,20150010,2015,1,2,,15,1
Amravati,Industrial,20070020,2007,2,-8,,13.4,0.3
Amravati,Industrial,20080020,2008,2,1,-0.2,13.2,1.2
Amravati,Industrial,20090020,2009,2,1,0.6,13.8,1.3
Amravati,Industrial,20100020,2010,2,1,0.7,14.5,0
Amravati,Industrial,20110020,2011,2,1,-0.5,14,-1
Amravati,Industrial,20120020,2012,2,1,-0.5,13.5,0.5
Amravati,Industrial,20130020,2013,2,1,0.5,14,1
Amravati,Industrial,20150020,2015,2,2,,13,-2
Amravati,Industrial,20070030,2007,3,-8,,15.5,2.1
Amravati,Industrial,20080030,2008,3,1,-4.8,10.7,-2.5
Amravati,Industrial,20090030,2009,3,1,3,13.7,-0.1
Amravati,Industrial,20100030,2010,3,1,0.3,14,-0.5
Amravati,Industrial,20110030,2011,3,1,1,15,1
Amravati,Industrial,20120030,2012,3,1,-1.5,13.5,0
Amravati,Industrial,20130030,2013,3,1,0.5,14,0
Amravati,Industrial,20150030,2015,3,2,,14,1
Amravati,Industrial,20070040,2007,4,-8,,15.5,0
Amravati,Industrial,20080040,2008,4,1,-2.75,12.75,2.05
Amravati,Industrial,20090040,2009,4,1,2.1,14.85,1.15
Amravati,Industrial,20100040,2010,4,1,0.48333333,15.33333333,1.33333333
Amravati,Industrial,20110040,2011,4,1,-0.33333333,15,0
Amravati,Industrial,20120040,2012,4,1,-1.5,13.5,0
Amravati,Industrial,20130040,2013,4,1,-0.5,13,-1
Amravati,Industrial,20150040,2015,4,2,,14,0
Amravati,Industrial,20070050,2007,5,-8,,13.4,-2.1
Amravati,Industrial,20080050,2008,5,1,-0.15,13.25,0.5
Amravati,Industrial,20090050,2009,5,1,1.55,14.8,-0.05
Amravati,Industrial,20100050,2010,5,1,0.533333335,15.33333334,5.00E-09
Amravati,Industrial,20110050,2011,5,1,-2.333333335,13,-2
Amravati,Industrial,20120050,2012,5,1,1,14,0.5
Amravati,Industrial,20070060,2007,6,-5,,8.1,-5.3
Amravati,Industrial,20080060,2008,6,1,4.15,12.25,-1
Amravati,Industrial,20090060,2009,6,1,1.05,13.3,-1.5
Amravati,Industrial,20100060,2010,6,1,-1.8,11.5,-3.833333335
Amravati,Industrial,20110060,2011,6,1,0.5,12,-1
Amravati,Industrial,20120060,2012,6,1,1,13,-1
Amravati,Industrial,20130060,2013,6,1,1,14,
Amravati,Industrial,20150060,2015,6,2,,13,
Amravati,Industrial,20060070,2006,7,-9,,19.3,
Amravati,Industrial,20070070,2007,7,1,-9.7,9.6,1.5
Amravati,Industrial,20080070,2008,7,1,2.9,12.5,0.25
Amravati,Industrial,20090070,2009,7,1,0.2,12.7,-0.6
Amravati,Industrial,20100070,2010,7,1,-0.45,12.25,0.75
Amravati,Industrial,20110070,2011,7,1,-0.25,12,0
Amravati,Industrial,20120070,2012,7,1,1,13,0
Amravati,Industrial,20130070,2013,7,1,0,13,-1
Amravati,Industrial,20060080,2006,8,-7,,19.15,-0.15
Amravati,Industrial,20070080,2007,8,1,-6.9,12.25,2.65
Amravati,Industrial,20080080,2008,8,1,2.75,15,2.5
Amravati,Industrial,20090080,2009,8,1,-1.2,13.8,1.1
Amravati,Industrial,20100080,2010,8,1,0.366666665,14.16666667,1.916666665
Amravati,Industrial,20110080,2011,8,1,-2.166666665,12,0
Amravati,Industrial,20120080,2012,8,1,2,14,1
Amravati,Industrial,20130080,2013,8,1,-1.5,12.5,-0.5
Amravati,Industrial,20150080,2015,8,2,,14,
Amravati,Industrial,20070090,2007,9,-8,,12,-0.25
Amravati,Industrial,20080090,2008,9,1,2.5,14.5,-0.5
Amravati,Industrial,20090090,2009,9,1,-0.75,13.75,-0.05
Amravati,Industrial,20100090,2010,9,1,0.75,14.5,0.333333335
Amravati,Industrial,20110090,2011,9,1,-2.5,12,0
Amravati,Industrial,20120090,2012,9,1,2,14,0
Amravati,Industrial,20130090,2013,9,1,1,15,2.5
Amravati,Industrial,20150090,2015,9,2,,12,-2
Amravati,Industrial,20070100,2007,10,-8,,10.5,-1.5
Amravati,Industrial,20080100,2008,10,1,2.25,12.75,-1.75
Amravati,Industrial,20090100,2009,10,1,1.5,14.25,0.5
Amravati,Industrial,20100100,2010,10,1,-1,13.25,-1.25
